DisNo,ImpactID,Historic,Classification_Key,OFDA_BHA_Response,Appeal,Declaration,Origin,Associated_Types,Magnitude,Magnitude_Scale,Start_Date,End_Date,duration,Location
2022-0157-USA,d9ab533c20424c369896afa378bd2b08,No,nat-met-sto-tor,No,No,Yes,,Hail,,Kph,2022-03-21,2022-03-23,2,"Bastrop, Cass, Cooke, Grayson, Guadalupe, Houston, Jack, Madison, Marion, Montague, Nacogdoches, Panola, Rusk, Upshur, Williamson, and Wise counties (Texas); Oklahoma, Louisiana; Adams, Attala, Clay, Copiah, George, Hinds, Holmes, Jefferson, Kemper, Lauderdale, Madison, Smith, Warren, Oktibbehaand Yazoo Counties (Mississippi); Perry, Chilton, Bibb, Shelby, and Talladega Counties (Alabama); Ohio, South and North Carolina"
2022-0185-USA,8e18e96e20962d7ecad076aa62fe07c8,No,nat-met-sto-sev,No,No,No,,Flood|Hail,177.0,Kph,2022-03-29,2022-04-01,3,"Washington County (Arkansas); Shelby, Chilton, Bibb Counties (Alabama); Iowa, Kansas, Missouri; Newton county (Texas); Lousiana; Bolivar, Calhoun, Hinds, Warren, Yazoo Counties (Mississippi); Trigg County (Kentucky); Washington County (Florida); Armstrong County (Pennsylvania)"
2022-0193-USA,1d3471fbb4a60156597055e75f0198f8,No,nat-met-sto-tor,No,No,No,,,,Kph,2022-04-04,2022-04-07,3,"Dallas Fort, Johnson, Collin, Smith counties (Texas); Marengo County (Alabama); Lee, Houston, Berkeley Counties (Georgia); Allendale county (South Carolina); Covington, Jefferson Davis, Lauderdale, Newton, Wayne Counties (Mississippi); Florida"
2022-0212-USA,4235272786fe1c3b724f3909817b2178,No,nat-met-sto-tor,No,No,No,,Flood|Hail,265.0,Kph,2022-04-11,2022-04-14,3,"Williamson and Bell Counties (Texas); Pocahontas County (Iowa); Atoka and Coal counties (Oklahoma); Faulkner, Franklin, Logan, Prairie, Sebastian, and White Counties (Arkansas); Mower County (Minnesota); Jefferson, Shelby, Hardin Counties (Kentucky); Louisiana, Mississippi, Alabama, Tennessee, Indiana"
2022-0227-USA,e67845f0d0969068bb6a6b0f4ff89eb5,No,nat-met-sto-sto,No,No,No,,Hail,,Kph,2022-04-15,2022-04-18,3,"Alabama, Arkansas, Florida, Mississippi,Oklahoma, and Texas"
2022-0244-CAN,654321c9784235d24116904d1ec1dc5b,No,nat-met-sto-sto,No,Yes,Yes,,Flood,,Kph,2022-04-21,2022-04-24,3,"Ontario, Manitoba"
2022-0244-USA,27667daef18f6f31b9388f32ec30c1a6,No,nat-met-sto-sto,No,No,No,,Hail,130.0,Kph,2022-04-21,2022-04-24,3,"Nebraska, Kansas, Missouri, Dakota, Virginia, North Carolina, Texas, Montana, Minnesota"
2022-0246-USA,e47f4b2a0649248c39f55f4279fd10f3,No,nat-cli-wil-wil,No,No,Yes,"Hot and dry conditions, severe drought, and very high winds",,,Km2,2022-04-06,2022-06-14,69,"Mora, Colfax, Lincoln, San Miguel, Valencia Counties (New Mexico); Colorado, Nebraska"
2022-0261-USA,0794a4782d047e255c666bb9f7e925a8,No,nat-met-sto-tor,No,No,No,,Hail,,Kph,2022-04-26,2022-05-05,9,Andover Town (Butler County); Wichita City (Sedgwick County) - Kansas; Texas; Oklahoma
2022-0266-CAN,776f370afd89131262ceed9673d568a1,No,nat-hyd-flo-flo,No,No,Yes,Heavi rains,,,Km2,2022-04-22,2022-04-25,3,Southern Manitoba Province
2022-0284-USA,1177e4673c84b51af8a472bab557cb61,No,nat-met-sto-sto,No,No,Yes,,Flood|Hail,,Kph,2022-05-05,2022-05-11,6,"Texas, North Carolina, West Virginia, Minnesota, Wisconsin, Oklahoma, Ohio, Pennsylvania"
2022-0304-CAN,e1935f4b1151ab88380a1975b91c997a,No,nat-hyd-flo-flo,No,No,Yes,"Ice jams, rain and melting snow",,,Km2,2022-05-30,2022-05-31,1,"Manitoba, northern Alberta and Northwest Territories"
2022-0325-CAN,a06d0f5c9446df543fa26b0b7e4afcfa,No,nat-met-sto-der,No,No,No,,,,Kph,2022-05-19,2022-05-26,7,"Toronto, Ottawa, Montreal, Ontario, Quebec"
2022-0325-USA,844863f6eac74b0f3074b2dae3276bfc,No,nat-met-sto-der,No,No,No,,,,Kph,2022-05-19,2022-05-26,7,"Minnesota, Kentucly, Michigan, Missouri, Illinois, Wisconsin"
2022-0361-USA,18c9369618aca0d33ccbac83572b33e7,No,nat-hyd-flo-flo,No,No,No,Heavy rain combined with glacier melt,"Slide (land, mud, snow, rock)",,Km2,2022-06-11,2022-06-14,3,"Yellowstone National Park (Wyoming, Montana and Idaho states)"
2022-0480-USA,f590c69b4f726e744cbd6d88c8f881ee,No,nat-hyd-flo-flo,No,No,Yes,Heavy rains,,,Km2,2022-07-26,2022-07-31,5,"Kentucky, Missouri"
2022-0486-USA,e9c6a75300320ecf95d76a8628911750,No,nat-cli-wil-wil,No,No,No,"Vague de chaleur, de forts vents et des orages",Heat wave,,Km2,2022-07-29,2022-08-01,3,Siskiyou County (California)
2022-0603-CAN,fa6f4c052ed71f888fb0765e824842e2,No,nat-met-sto-tro,No,No,No,,,,Kph,2022-09-24,2022-09-25,1,"Nova Scotia, Prince Edward Island, Newfoundland, and Quebec"
2022-0614-USA,b922576e6fe72b3de0a7935f65628cce,No,nat-met-sto-tro,No,No,Yes,,Flood,240.0,Kph,2022-09-28,2022-10-02,4,Charlotte and Lee Counties (Florida Peninsula); North Carolina
2022-0734-USA,00fc984be9fe09eeface3c7cbcbdc6b1,No,nat-met-sto-tro,No,No,Yes,,,120.0,Kph,2022-11-10,2022-11-11,1,"Bahamas, Florida"
2022-0735-USA,46423fe95a76a1052ab70b59276bc9dc,No,nat-met-sto-sev,No,No,No,,Flood,,Kph,2022-11-04,2022-11-05,1,"Texas, Arkansas and Oklahoma"
2022-0808-USA,5500ce9c807d81db8b93888eb222b96b,No,nat-geo-ear-gro,No,No,Yes,,,6.4,Moment Magnitude,2022-12-20,2022-12-20,0,Humboldt County (California)
2022-0811-USA,2ce8c35b879cc2d557ed2314b15d6373,No,nat-met-sto-sto,No,No,No,,,,Kph,2022-12-12,2022-12-15,3,"Louisiana, Oklahoma, Texas, Alabama, Mississippi, Georgia, Florida states"
2022-0818-CAN,c9b74fc1f7c713a2f24c22caa182968e,No,nat-met-sto-bli,No,No,No,,,,Kph,2022-12-21,2022-12-26,5,British Columbia
2022-0818-USA,5b85f7f38b8b1c9600615c6527efe4c9,No,nat-met-sto-bli,No,No,Yes,Heavy snowfall and very low temperatures,Cold wave|Flood,120.0,Kph,2022-12-19,2022-12-29,10,"South Dakota, Oregon, Washington, Idaho, New York, Oklahoma, Kentucky, Colorado, Connecticut, Kansas, Maryland, Missouri, North Carolina, West Virginia, Wisconsin, Georgia, New Hampshire, Ohio, Tennessee, Vermont states"
2022-0863-USA,dce736ef7c17c704f93da26cbe0372a8,No,nat-met-sto-sto,No,No,Yes,,"Flood|Slide (land, mud, snow, rock)",,Kph,2022-12-26,2023-03-26,90,"Sacramento City, Santa Cruz, Calaveras, San Mateo, Ventura, Santa Barbara, El Dorado, Monterey, Santa Clara, Alameda, San Benito, Merced, Mono, Stanislaus, Mendocino, Humboldt (California)"
2023-0032-USA,616071764371783e1d476d22929cf70c,No,nat-met-sto-tor,No,No,Yes,,,145.0,Kph,2023-01-12,2023-01-12,0,Alabama and Georgia
2023-0052-CAN,0f11de0a2f335cfb081f64b8565e38e0,No,nat-met-ext-sev,No,No,No,,,-50.0,°C,2023-01-30,2023-02-05,6,
2023-0052-USA,446c1c4e611d9cc4345a291f0208ccd4,No,nat-met-ext-sev,No,No,No,,Cold wave|Transport accident,-50.0,°C,2023-01-30,2023-02-01,2,"Texas, Arkansas, Louisiana, Oklahoma, Tennessee. Mississippi"
2023-0122-USA,77724f99162bddc5af04bc834eec7988,No,nat-met-sto-sto,No,No,No,,,,Kph,2023-03-01,2023-03-03,2,"Texas, Oklahoma, Mississippi, Kentucky, Arkansas, Alabama, Tennessee, Louisiana, Indiana and Ohio"
2023-0135-USA,113afcd59803bbccaf9a5ff8452ed6d5,No,nat-met-sto-sev,No,No,Yes,,Flood|Snow/ice,,Kph,2023-03-09,2023-03-12,3,"Monterey, Merced and Tulare Counties (California); Nevada"
2023-0176-USA,13c2ff9f471ec26419bea8becbdacd47,No,nat-met-sto-tor,No,No,No,,,,Kph,2023-03-22,2023-03-27,5,"Rolling Fork, Silver City, Winona, Sharkey, Smithville, Amory and Montgomery (Mississippi); Alabama, Georgia, Tennessee"
2023-0192-USA,976dfbcb727a08b152ed094744e465e5,No,nat-met-sto-tor,No,No,No,,,,Kph,2023-03-30,2023-04-03,4,"Memphis (Tennessee); Owen and Sullivan counties (Indiana); Arkansas, Mississippi, Alabama, Illinois; Sussex county (Delaware); Oklahoma, Iowa, Kentucky, Ohio, Missouri, Kansas; Pennsylvania"
2023-0206-USA,2c7991763ab95dd84d36210eec06a1e9,No,nat-met-sto-tor,No,No,No,,,,Kph,2023-04-03,2023-04-07,4,"Bollinger County (Missouri); Illinois, Kentucky, Iowa, Indiana, Ohio, Michigan"
2023-0225-USA,cb9eb3aa6446a9aa3a6634d6c710cdfe,No,nat-hyd-flo-fla,No,No,No,Heavy rains,,,Km2,2023-04-12,2023-04-14,2,"Pembroke Pines, Dania Beach and Fort Lauderdale (Broward County, Hollywood, Florida)"
2023-0239-USA,c2c574aa5bf5edbfff81f7e4fd3afe80,No,nat-met-sto-sto,No,No,No,,Hail,,Kph,2023-04-15,2023-04-22,7,"Arkansas, Florida, Illinois, Kansas, Louisiana, Missouri, Nebraska,Texas, Oklahoma, Iowa"
2023-0253-USA,f63756d026e6b250edb90b881ba8cd55,No,nat-met-sto-sto,No,No,No,,Hail,,Kph,2023-04-23,2023-04-27,4,"Dickens, Comanche, McLennan, Nolan, Swisher, Taylor, Floyd (Texas); St. Lucie, Nassau, Brevard, Hillsborough, Sumter, Broward, and Indian River (Florida); Effingham, Bryan, Wayne, Terrell, Chatham (Georgia); Oklahoma"
2023-0272-CAN,192765020da179eeb950ab8eb5e2d20c,No,nat-hyd-flo-flo,No,No,Yes,Heavy rains,Storm,,Km2,2023-05-01,2023-05-04,3,"Baie-Saint-Paul (Charlevoix Region), Saint-Côme and Sainte-Émélie-de-l'Énergie (Lanaudière Region, south-western Quebec)."
2023-0288-USA,3220cd2abb508f6eca400b7318f6ecea,No,nat-met-sto-sto,No,No,No,,Hail,,Kph,2023-05-06,2023-05-08,2,"Texas, Nebraska, Missouri, Kansas, Colorado, Illinois, Iowa, Indiana, Kentucky, Tennessee, South Carolina"
2023-0324-USA,10af6f2d3469907c56f0a03dc54ceca9,No,nat-met-sto-sto,No,No,No,,Hail|Lightening,,Kph,2023-06-15,2023-06-22,7,"Texas, Oklahoma, Kansas, Louisiana, Michigan, Ohio, Mississippi, Nebraska, Wyoming, Colorado and Arkansas"
2023-0332-USA,084ced863bb0c80b9c33cbfb1faa2e38,No,nat-met-sto-tor,No,No,No,,Hail,,Kph,2023-06-10,2023-06-17,7,"Dallas, Tarrant, Denton, Ochiltree counties (Texas); Louisiana, Mississippi, Alabama, Georgia, Tennessee, Arkansas, South Carolina and Florida"
2023-0370-USA,532247c67b4207f77e806f2869337939,No,nat-met-sto-sto,No,No,No,,Hail,,Kph,2023-06-23,2023-06-29,6,"Montana, Wyoming, South Dakota, Nebraska, Minnesota, Ohio, Tennessee, Oklahoma, Wyoming, Colorado, Indiana, Kentucky, Arkansas"
2023-0426-USA,c3bc11192c038fa1b57e11a51fc9ebff,No,nat-hyd-flo-flo,No,No,Yes,Severe storms,,,Km2,2023-07-09,2023-07-18,9,"Vermont, New York, Connecticut, Pennsylvania, Massachusetts, New Jersey, New Hampshire, Missouri, Illinois, Kentucky,Tennessee"
2023-0465-CAN,e1d9605b73df52d019a0b06a5db581df,No,nat-hyd-flo-flo,No,No,No,Heavy rains,,,Km2,2023-07-21,2023-07-22,1,"East and West Hants Regional Municipality, Halifax Regional Municipality, Lunenburg and Queens counties in southern Nova Scotia"
2023-0524-USA,9b25771c28dd59f161dfc671603ff3d3,No,nat-cli-wil-wil,No,No,Yes,,,,Km2,2023-08-09,2023-08-10,1,Maui and Kula City (Hawai)
2023-0565-USA,a5c0cbb3b6927c1eb1a791df136d582c,No,nat-met-sto-tro,No,No,No,,Flood,150.0,Kph,2023-08-28,2023-08-29,1,"Tampa, St. Petersburg, Sarasota, Tarpon Springs, Fort Myers Naples (Florida); Brooks and Lowndes Counties (Georgia); Mt. Pleasant, Edisto Beach, and Folly Beach (South Carolina); Whiteville, Wilmington, Outer Banks (North Carolina)"
2023-0651-USA,57a5401cef8e9a5a19910f5b7641ef9a,No,nat-hyd-flo-flo,No,No,Yes,Heavy rains and storms,Storm,,Km2,2023-09-29,2023-10-04,5,"New York city; New Jersey, Connecticut, Texas, Oklahoma, and Arkansas"
2023-0656-USA,0dcbe732ac540388cd5cf957af743b15,No,nat-met-sto-sev,No,No,No,,Hail|Transport accident,,Kph,2023-09-21,2023-09-27,6,"Nebraska, Texas, Oklahoma, Missouri, and Kentucky"
2023-0785-USA,862180e1258c91be842efad0a2d510f0,No,nat-hyd-flo-flo,No,No,No,Heavy rains and snow,,,Km2,2023-12-04,2023-12-06,2,Portland City area (Oregon State); Snohomish and Wahkiakum Counties (Washington State)
2023-0826-USA,63a65b0dcca5ef87a46df95448d5ccd5,No,nat-met-sto-sev,No,No,No,,Flood|Lightening,,Kph,2023-12-09,2023-12-11,2,"Nashville City, Davidson County; Clarksville City, Montgomery County in (Tennesee state); Louisiana; Connecticut"
2023-0843-USA,7e275a737304906eac2669ed494eed92,No,nat-met-sto-sev,No,No,No,,Flood,,Kph,2023-12-16,2023-12-19,3,"Massachusetts, Maine, New Jersey, New York, Pennsylvania and South Carolina"
2023-9868-USA,96aa5735fbf4a226d4a3a40259b21a94,No,nat-cli-dro-dro,No,No,No,,Heat wave,,Km2,2023-04-01,2023-09-30,182,"Texas, Louisiana, Oklahoma, Kansas, Illinois, Missouri, Nebraska, Washington, Oregon, Montana"
2024-0004-USA,fb9fa53a1087df41ec3ba19756bfa00e,No,nat-met-sto-sev,No,No,No,Two powerful storm systems,Flood|Severe winter conditions,,Kph,2024-01-08,2024-01-10,2,"New Mexico, Colorado, Kansas, Nebraska, South Dakota, and Iowa; Panama City and Jackson County (Florida), Cottonwood (Alabama), Bamberg (South Carolina), Catawba County (North Craolina)."
2024-0005-USA,0534ee321c14fdfe73c9b22718191506,No,nat-met-sto-bli,No,No,Yes,,Cold wave|Flood|Snow/ice|Transport accident,,Kph,2024-01-09,2024-01-22,13,"Pennsylvania, Massachusetts, New York, Oregon, Maine, Mississippi, Tennessee Arkansas, Illinois, Wisconsin, Washington, Kentucky, New Jersey, Louisiana states."
2024-0062-USA,fa5fd58e2595f2cf4dc66d4db0da7ede,No,nat-met-sto-sev,No,No,Yes,,"Flood|Slide (land, mud, snow, rock)|Snow/ice|Storm",160.0,Kph,2024-02-04,2024-02-08,4,"Los Angeles, Monterrey, Santa Barbara, Ventura, San Diego, Santa Clara, San Mateo, Santa Cruz, Sutter and Sacramento (California)"
2024-0079-USA,300ff8d9970f11fe3f62a6c15e70ab19,No,nat-met-sto-sev,No,No,No,Two storms systems,Flood|Snow/ice,,Kph,2024-02-08,2024-02-13,5,"New Mexico, Colorado, Oklahoma, Lousiana, Texas, Pennsylvania, New Jersey, New York, Connecticut., Mississippi, Wisconsin, Massachusetts, New Hampshire"
2024-0126-USA,ef710ae48d8091e8a42545c176dddb31,No,nat-cli-wil-wil,No,No,Yes,Hot and windy conditions,,,Km2,2024-02-26,2024-03-07,10,"Texas, Oklahoma"
2024-0173-USA,7d47cc1d04fef9200354f13153afac6c,No,nat-met-sto-tor,No,No,No,,Hail,,Kph,2024-03-12,2024-03-16,4,"Ohio, Indiana, Kentucky, Kansas, Oklahoma, Illinois and Arkansas"
2024-0193-USA,38e3e52c9508bee2b253854fe16b38b7,No,nat-met-sto-sev,No,No,No,"Long-lasting, multi-hazard weather system","Avalanche (Snow, Debris)|Flood",,Kph,2024-03-29,2024-04-05,7,"California, Maine, Great Lakes, New England, Oklahoma, Ohio, West Virginia, Kentucky, Tennessee, Georgia, Pennsylvania, New Hampshire, New York, New Jersey, Massachusetts"
2024-0205-USA,12babdfa7820da13a5bf601b9bad3d4c,No,nat-hyd-flo-flo,No,No,Yes,,Storm,,Km2,2024-04-06,2024-04-11,5,"Texas, Louisiana, MIssissippi, Florida, Colorado, Nebraska, and Wyoming"
2024-0266-USA,378a982ca0b3169f7aa739f481fec21f,No,nat-met-sto-tor,No,No,Yes,,Flood,,Kph,2024-04-25,2024-05-08,13,"Oklahoma, Iowa, Nebraska, Texas, Kansas, Missouri, Michigan, Tennessee, North and South Craolinas"
2024-0288-CAN,d2da589bcc26bf445c38002f62c9510b,No,nat-cli-wil-for,No,No,No,,,,Km2,2024-05-12,2024-05-13,1,"Fort Nelson, Carpenter Lake, Fontas, and Doig River First Nation reserve (British Columbia); Alberta, Manitoba Provinces"
2024-0307-USA,05acdf3b5cb5918136c2bf059663d869,No,nat-met-sto-sev,No,No,No,,Flood,160.0,Kph,2024-05-16,2024-05-22,6,"Houston (Texas); Kansas, Oklahoma, Missouri, Iowa, Wisconsin, Illinois, Nebraska"
2024-0314-USA,c6ef4f62680f9da52ffc9f3ed7e927fb,No,nat-met-sto-tor,No,No,Yes,,,,Kph,2024-05-22,2024-05-22,0,Greenfield (Iowa state)
2024-0340-USA,0a6e1b2b208d1cf541debc8677ce4658,No,nat-met-sto-sev,No,No,No,,Flood|Hail|Lightening,,Kph,2024-05-23,2024-05-30,7,"Arkansas, northern Texas, eastern Oklahoma, Kentucky, Alabama, Colorado, Missouri, Illinois"
2024-0351-USA,e95010061042509eb85f206f738c7168,No,nat-met-sto-sev,No,No,No,,Hail,,Kph,2024-05-30,2024-06-05,6,"Texas, Colorado"
2024-0403-USA,a69294584778cfc2af081b9529afa12b,No,nat-cli-wil-for,No,No,Yes,,,,Km2,2024-06-17,2024-07-15,28,"Otero and Lincoln Counties (New Mexico); California, Washington states"
2024-0422-CAN,d25f2ea5a3fe84d23d76a67a3f5dd640,No,nat-met-sto-tro,No,No,No,,Flood,,Kph,2024-07-12,2024-07-12,0,Nouvelle Ecosse
2024-0422-USA,fc759201f69f5fdda292f31c9f82479c,No,nat-met-sto-tro,No,No,Yes,,Flood,130.0,Kph,2024-07-08,2024-07-09,1,"Texas, Louisiana"
2024-0463-CAN,4952fc712dedc4c3e9076b518b6a5a1d,No,nat-cli-wil-wil,No,No,Yes,,,,Km2,2024-06-21,2024-06-25,4,Quebec province
2024-0524-CAN,b055f2a63283eb1cabb4ee6144ec4b71,No,nat-cli-wil-wil,No,No,Yes,"Warm temperatures, dry conditions, and strong winds, lightenings",,,Km2,2024-07-22,2024-08-07,16,National park Jasper (Alberta province); Colombie-Britannique
2024-0573-CAN,c8fd0cd342ae327d7f1c4c409997b002,No,nat-met-sto-tro,No,No,No,,Flood,,Kph,2024-08-08,2024-08-10,2,Quebec
2024-0573-USA,297e6ef57e21258c14063684d1ff8b4d,No,nat-met-sto-tro,No,No,Yes,,Flood,120.0,Kph,2024-08-05,2024-08-06,1,"Tampa, Manatee, and St. Petersburg (Florida); Georgia; South Carolina, North Carolina, Virginia, New Yprk, Pennsylvania"
2024-0669-USA,072441b48287a9b92d44031647f54d4a,No,nat-cli-wil-wil,No,No,Yes,,Heat wave,,Km2,2024-09-04,2024-09-19,15,"Los Angeles, Orange, Riverside, San Bernardino counties (California); Grant, Crook, and Wheeler Counties (Oregon); Nevada"
2024-0693-USA,80234918f59f6380f3f88aa0eaa736e5,No,nat-met-sto-tro,No,No,No,,Flood|Surge,225.0,Kph,2024-09-25,2024-09-28,3,"Florida, Georgia, North Carolina, South Carolina, Tennessee, Kentucky, Indiana and Virginia"
2024-0722-USA,e93fa5d59a214bbde2de70b1e82901df,No,nat-met-sto-tro,No,No,Yes,,Flood|Surge,205.0,Kph,2024-10-09,2024-10-10,1,"Hillsborough, Pinellas, Sarasota Volusia, Saint Petersburg, Tampa, (Florida state)"
2024-0788-USA,6e26acc38a6baf7d2b9d070a28480ddf,No,nat-hyd-flo-fla,No,No,Yes,Heavy rains,,,Km2,2024-10-18,2024-10-20,2,"Roswell (Chaves county, Eastern New Mexico)"
2024-0814-USA,4b2fb0aaabe0142bbc75a4177a6cb4c5,No,nat-met-sto-sev,No,No,Yes,,Flood|Lightening,,Kph,2024-11-02,2024-11-05,3,"Oklahoma, Missouri, Arkansas states"
2024-0827-USA,a773856c77508c4e2f26f0ccf97b1268,No,nat-cli-wil-wil,No,No,Yes,,,,Km2,2024-11-06,2024-11-08,2,Ventura county (California)
2024-0897-USA,59c01404aca16dce496c70b73f650dd1,No,nat-cli-wil-wil,No,No,No,,,,Km2,2024-12-09,2024-12-11,2,"Near Malibu city, Santa Monica mountains (Los Angeles County, California)"
