DisNo,ImpactID,Historic,Classification_Key,OFDA_BHA_Response,Appeal,Declaration,Origin,Associated_Types,Magnitude,Magnitude_Scale,Start_Date,End_Date,duration,Location
2000-0021-USA,5cdf3bcf14b636dcea834bde8a1d89fa,No,nat-met-sto-tor,No,No,No,,,,Kph,2000-01-02,2000-01-04,2,"Crittenden, Daviess, Webster districts (Kentucky province)"
2000-0067-USA,5370ecca580bd7737acae78e8d820169,No,nat-met-sto-tor,No,No,No,,,249.0,Kph,2000-02-13,2000-02-14,1,"Bullock, Montgomery districts (Alabama province), Colquitt, Grady, Mitchell, Thomas, Tift districts (Georgia province), Washington district (Floride province), Lonoke, Prairie, Saline districts (Arkansas province)"
2000-0080-USA,aee9ba2fd62e6a9ad6c976d5503c5011,No,nat-hyd-flo-riv,No,No,No,Heavy rain,"Slide (land, mud, snow, rock)",55000.0,Km2,2000-02-18,2000-02-22,4,"Kentucky, Ohio provinces"
2000-0128-USA,141de4c78e696b24e06af81baf193ea5,No,nat-cli-wil-for,No,No,No,,,113.0,Km2,2000-02-26,2000-02-26,0,"Gainesville, Alachua areas (Alachua district, Florida province), Lafayette, Gulf districts (Florida province)"
2000-0175-USA,28e519b25fa779a2c599392458dfb094,No,nat-met-sto-tor,No,No,No,,,,Kph,2000-03-28,2000-03-28,0,"Fort Worth Texas city (Tarrant district, Texas province), Reagan, Burleson districts (Texas province)"
2000-0232-USA,37a607d222456968f0bf6d2a3bb2b47c,No,nat-hyd-flo-fla,No,No,No,Brief torrential rain,,,Km2,2000-05-06,2000-05-09,3,"Franklin, Jefferson districts (Missouri province)"
2000-0271-USA,56664d2838451fe35810469aa14359a7,No,nat-hyd-flo-fla,No,No,No,Brief torrential rain,,,Km2,2000-05-06,2000-05-09,3,Oklahoma province
2000-0279-USA,a40eb3c39cb1593c5b80913b5dab151e,No,nat-cli-wil-for,No,No,No,,,16.0,Km2,2000-05-14,2000-05-14,0,Sarasota district (Florida province)
2000-0296-USA,9ee6b3ab4918c1cde53a407907a96345,No,nat-hyd-flo-flo,No,No,No,,,,Km2,2000-05-19,2000-05-19,0,Liberty district (Texas province)
2000-0297-USA,a0c0197b167e4b78744a4acea0da2e7c,No,nat-hyd-flo-flo,No,No,No,,,,Km2,2000-05-23,2000-05-23,0,"Franklin, Jefferson, Gasconade districts (Missouri province)"
2000-0338-USA,842b74e4c99dae679b2be0190143e5f8,No,nat-met-sto-tor,No,No,No,,,,Kph,2000-05-26,2000-05-26,0,"Adams, Columbia, Crawford, Dane, Dodge, Grant, Green, Iowa, Juneau, La crosse, Lafayette, Monroe, Richland, Rock, Sauk, Vernon districts (Wisconsin province)"
2000-0360-USA,f0b66b60095d2de3ff2e42767f770397,No,nat-met-sto-sev,No,No,No,,,,Kph,2000-05-23,2000-05-23,0,"Anderson, Benton, Cheatham, Davidson, Henry, Hickman, Houston, Jackson, Knox, Lake, Obion, Perry, Pickett, Stewart districts (Tennessee province)"
2000-0363-USA,4457e9cebfe65c450ebb1bdc823ddf23,No,nat-cli-wil-for,No,No,No,,,85.0,Km2,2000-06-12,2000-06-12,0,"Park, Jefferson, Larimer districts (Colorado province)"
2000-0406-USA,ba414776194a5594cbfe0dfc31a24d19,No,nat-cli-wil-for,No,No,No,,,607.0,Km2,2000-06-27,2000-06-27,0,"Hanford area (Benton district, Washington province)"
2000-0420-CAN,eb29f08135112418d0175280ae1e9cb2,No,nat-met-sto-tor,No,No,No,,,300.0,Kph,2000-07-14,2000-07-14,0,"Pine Lake area (Division No. 8 district, Alberta province)"
2000-0463-USA,a6f69db763c0932834083f5b96a6c30a,No,nat-met-sto-tor,No,No,No,,,,Kph,2000-07-25,2000-07-25,0,"Granite Falls city (Yellow Medicine, Minnesota province)"
2000-0500-USA,2f0c9e34a82dba179c7670756ce274a1,No,nat-hyd-flo-riv,No,No,No,Heavy rain,"Slide (land, mud, snow, rock)",,Km2,2000-08-12,2000-08-14,2,"Morris, Sussex districts (New Jersey province)"
2000-0502-USA,a03fe066ee39153f16e3eabc6feefbea,No,nat-hyd-flo-flo,No,No,No,,,,Km2,2000-07-30,2000-07-30,0,Pennsylvania province
2000-0598-USA,23f2d7e66b695bb64efbc5deb44261ea,No,nat-geo-ear-gro,No,No,No,,,4.9,Moment Magnitude,2000-09-03,2000-09-03,0,"Near Yountville city (Napa district, California province)"
2000-0614-USA,156de1c3a4edcf5fd67a8f0eced9d3c5,No,nat-met-sto-tor,No,No,No,,,,Kph,2000-09-20,2000-09-20,0,"Xenia city (Greene district, Ohio province)"
2000-0652-USA,b9af99a2ac300885c5a06081f9fa953f,No,nat-met-sto-tro,No,No,No,,,,Kph,2000-10-04,2000-10-04,0,"Miami-Dade, Monroe, Broward, Collier districts (Florida province)"
2000-0756-USA,e4cb4a17286ed6ca4962f087e0c50ec5,No,nat-met-sto-bli,No,No,No,,,,Kph,2000-11-20,2000-11-20,0,"Buffalo city (Erie district, New York province)"
2000-0838-USA,fee1fdbd02d5db12960efce4c627244b,No,nat-met-sto-bli,No,No,No,,Transport accident,,Kph,2000-12-24,2000-12-24,0,"Texas, Oklahoma, New Mexico, Arkansas, Missouri, Minnesota provinces"
2000-0865-USA,7772db3054359660cbc0fcfa032d1434,No,nat-hyd-flo-riv,No,No,No,Heavy rains,,86.0,Km2,2000-11-02,2000-11-02,0,Maui district (Hawaii province)
2000-0919-USA,06d8b2e60dc17538492e26853f317e0d,No,nat-met-sto-sto,No,No,No,,Cold wave,,Kph,2000-01-22,2000-01-25,3,"Alabama, Georgia, Louisiana, North Carolina, South Carolina, Tennessee, Virginia, New York, Pennsylvania, Massachussetts provinces"
2000-0937-USA,89b7ae3bbdc3119005b0670e66cd779f,No,nat-met-sto-sto,No,No,No,,,,Kph,2000-12-16,2000-12-17,1,"Tuscaloosa district (Alabama province), Connecticut, Florida, Georgia, Massachusetts, Mississippi, Norh Carolina, New Jersey, New York, Pennsylvania, Rhode Island provinces"
2001-0052-CAN,f4dd3cb711526c7cb4470fa8b1fdd2f9,No,nat-met-sto-sto,No,No,No,,,120.0,Kph,2001-02-10,2001-02-10,0,Quebec province
2001-0099-USA,121ee3de0fc3d8ca66fb93988bfb3fb8,No,nat-geo-ear-gro,No,No,No,,,6.8,Moment Magnitude,2001-02-28,2001-02-28,0,"Seattle city (King district), Tacoma city (Pierce district), Olympia city (Thurston district) (Washington province)"
2001-0102-USA,8a08208b3e8bb01fde8975a733c8e3bb,No,nat-met-sto-tor,No,No,No,,,,Kph,2001-02-24,2001-02-24,0,"Calhoun, Lee, Pontotoc, Prentiss, Union districts (Mississippi province)"
2001-0106-USA,334ca07e3b5a4ed23f8de7b5af60d21f,No,nat-met-sto-bli,No,No,No,,Transport accident,,Kph,2001-02-22,2001-02-22,0,"Virginia, New Jersey, Pennsylvania, North Carolina, West Virginia, Maryland provinces"
2001-0145-USA,e09edf3008823d00ae674a2b7989ca7c,No,nat-met-sto-tor,No,No,No,,Hail,,Kph,2001-04-10,2001-04-11,1,"Kearny, Trego, Ellis, Rooks, Ford, Osborne, Smith, Jewell, Edwards, Republic, Washington districts (Kansas province), Union city (Franklin district, Missouri province), Johnson, Pettis, Cooper, Callaway, St Charles, Gentry, Worth, Clark, Madison districts (Missouri), Beaver, Pontotoc, Coal, Johnston, Atoka, Haskell, Pottawatomie districts (Oklahoma province), Wichita, Cooke, Carson, Hutchinson, Hansford, Wheeler districts (Texas province), Thayer, Gage, Sarpy, Webster, Nuckolls districts (Nebraska province), Mills, Pottawattamie, Guthrie, Boone, Hamilton, Wapello, Johnson, Black Hawk, Benton, Fayette, Webster, Ringgold districts (Iowa province), Madison district (Illinois province)"
2001-0194-USA,4b82b467ccc0cd858d42931e57eeeb0c,No,nat-met-sto-tor,No,No,No,,,,Kph,2001-03-29,2001-03-29,0,"Marion, Clay districts (Florida province)"
2001-0242-USA,72ffb616368e11dc8458ca747df77431,No,nat-met-sto-tro,No,No,Yes,,Flood,,Kph,2001-06-05,2001-06-17,12,"Texas, Mississippi, Louisiana, Florida, Pennsylvania, South Carolina, North Carolina, Georgia, Pensylvania, New Jersey, Virginia, Iowa provinces"
2001-0262-USA,1be48f8fe68f50d1e2a19f45c282efbf,No,nat-hyd-flo-riv,No,No,No,Ice jam/break,,24.0,Km2,2001-02-27,2001-03-01,2,"Cleveland area (Henry district, Illinois province), Barstow, Osborn areas (Rock Island district, Illinois province)"
2001-0266-USA,1d834c835d9c01a6f04282fdf7ccc8fd,No,nat-met-sto-sto,No,No,No,,Flood|Snow/ice,,Kph,2001-03-20,2001-03-20,0,"New Hampshire, Vermont, Maine, Massachusetts, Rhode Island provinces"
2001-0268-USA,eec338274210e6aed14e42ebb067c249,No,nat-hyd-flo-riv,No,No,No,Snowmelt,,63380.0,Km2,2001-04-15,2001-05-15,30,"Minnesota, Iowa, Wisconsin, Illinois provinces"
2001-0270-USA,ebe3655caf5fd552e82497c9df70b2e4,No,nat-met-sto-tor,No,No,No,,,,Kph,2001-04-21,2001-04-21,0,"Hoisington city (Barton district, Kansas province)"
2001-0340-CAN,1fffb45b57cc327b48059b9c73b4b2a5,No,nat-cli-wil-for,No,No,No,,,,Km2,2001-05-28,2001-05-28,0,Alberta province
2001-0351-USA,6e6dc9d81f6f18a6e9a8f58c778344bc,No,nat-met-sto-tor,No,No,No,,,,Kph,2001-06-14,2001-06-14,0,"Blue Grass, Bettendorf cities (Scott district, Iowa province), Leon city (Decatur district, Iowa province)"
2001-0460-USA,007f2c6898cdedc5a323aebf75122289,No,nat-hyd-flo-riv,No,No,No,Heavy rain,"Slide (land, mud, snow, rock)",8530.0,Km2,2001-07-08,2001-07-09,1,Virginia province
2001-0473-USA,ab645cbf565a8210f06a5bddde3d98df,No,nat-met-sto-tor,No,No,No,,,,Kph,2001-06-18,2001-06-18,0,"Siren city (Burnett district, Wisconsin province)"
2001-0474-USA,44b49f687f0eb0c2f0fa1b540f5eeb09,No,nat-met-sto-tor,No,No,No,,,,Kph,2001-06-13,2001-06-13,0,"Brainerd city (Crow King district, Minnesota province)"
2001-0477-USA,19e53d1ecc794000de2b87d00b44a18e,No,nat-met-sto-sto,No,No,No,,Hail,,Kph,2001-06-21,2001-06-21,0,"Watkins area (Adams district, Colorado province)"
2001-0564-USA,449dcbdfbddd0b81373417b23408b905,No,nat-met-sto-tor,No,No,No,,,,Kph,2001-10-10,2001-10-10,0,"Cordell city (Washita district, Oklahoma province), Polk, Merrick, Hamilton districts (Nebraska province)"
2001-0566-USA,3c8442836d68e40dfb277fbc5dcc8d90,No,nat-met-sto-tor,No,No,No,,,,Kph,2001-09-24,2001-09-24,0,"Howard, Prince George's districts (Maryland province)"
2001-0601-USA,3de3f33fd441cd289658cc01ddfec078,No,nat-met-sto-tor,No,No,No,,,,Kph,2001-10-11,2001-10-11,0,"Pasadena city (Harris district, Texas province)"
2001-0602-USA,636bfab3c256edbbcba020df25afb7ba,No,nat-met-sto-tor,No,No,No,,,,Kph,2001-10-12,2001-10-12,0,"Hondo city (Medina district, Texas province)"
2001-0722-USA,9926e217d87dc180a1fbe9f9cd3eb95f,No,nat-cli-wil-for,No,No,No,,,283.0,Km2,2001-10-30,2001-10-30,0,"Tennessee, Kentucky, West Virginia, Virginia, Georgia provinces"
2001-0724-USA,240482092817af7a231994486853b71c,No,nat-hyd-flo-riv,No,No,No,Heavy rain,,7730.0,Km2,2001-11-15,2001-11-19,4,Texas province
2001-0773-USA,58f4a5a0b3c51cb6d9e564c934c22d92,No,nat-met-sto-tor,No,No,No,,,,Kph,2001-08-17,2001-08-17,0,"Jakson town (Dakota district, Nebraska province)"
2002-0092-USA,fca0df58f1a9538ae9e4e9a8d6d3113a,No,nat-cli-wil-for,No,No,No,,,23.0,Km2,2002-02-10,2002-02-10,0,"Fallbrok area (San Diego district, Californie province)"
2002-0119-USA,70261210f1583efd0efaa11510ba89c8,No,nat-met-sto-sto,No,No,No,,,,Kph,2002-01-30,2002-02-08,9,"Cleveland, Comanche, Creek, Garvin, Grady, Greer, Harmon, Jackson, Kiowa, Lincoln, McClain, Nowata, Pottawatomie, Rogers, Stephens, Tillman, Tulsa, Alfalfa, Beaver, Beckham, Blaine, Caddo, Canadian, Cimarron, Custer, Dewey, Ellis, Garfield, Grant, Harper, Kay, Kingfisher, Logan, Major, Noble, Oklahoma, Osage, Pawnee, Payne, Roger Mills, Texas, Washington, Washita, Woods, Woodward districts (Oklahoma province), Missouri, Kansas, New York, Indiana, Ohio provinces"
2002-0165-USA,e25e4cb257bfda9f05616f111ae3d1e0,No,nat-met-sto-sto,No,No,No,,"Flood|Slide (land, mud, snow, rock)",,Kph,2002-03-19,2002-03-19,0,"Sevier, Blount, Knox, Hawkins districts (Tennessee province), Cumberland, Bell districts (Kentucky province), Wise, Smyth, Washington districts (Virginia province), Cabell district (West Virginia province), North Carolina, Mississippi, Arkansas, Texas provinces"
2002-0183-USA,a8993afce32619df55191529c462e0de,No,nat-hyd-flo-riv,No,No,No,Heavy rain,,35390.0,Km2,2002-03-17,2002-03-24,7,"Tennessee, Virginia, Kentucky, Ohio, Arkansas, Oklahoma, Texas provinces"
2002-0266-USA,23786567fe464aaecdc7934cc001ca31,No,nat-hyd-flo-riv,No,No,No,Heavy rain,,,Km2,2002-05-02,2002-05-08,6,"Pike district (Kentucky province), Virginia province"
2002-0283-USA,e0964363ccf47fa648664b654c1454b0,No,nat-met-sto-tor,No,No,No,,,,Kph,2002-05-05,2002-05-05,0,"Happy town (Randall, Swisher districts, Texas province)"
2002-0287-USA,e8df16d9d9feab6d75648d1abdb4e171,No,nat-met-sto-tor,No,No,No,,,,Kph,2002-04-21,2002-04-21,0,"Wayne, Jefferson districts (Illinois province)"
2002-0310-USA,98f7a020dabac8d34e776c6ac50f21cc,No,nat-met-sto-tor,No,No,Yes,,,290.0,Kph,2002-04-27,2002-05-03,6,"Breckinridge, Meade, Crittenden, Webster, Hopkins, Ohio, Hardin, Edmonson districts (Kentucky province), Bollinger, Howell districts (Missouri province), Charles, Calvert, Dorchester, Wicomico, Cecil districts (Maryland province), Illinois (Clay,Union, Johnson,Pope, Moultrie, Saline, Bond), Gordon district (Georgia province), Atchison district (Kansas province), Erie, Allegany districts (New York province), Stark district (Ohio province), Indiana, Mercer, Venango, Butler, Armstrong, Columbia, Lebanon, Allegheny districts (Pennsylvania province), Rutherford, Lake, Henry, Carter districts (Tennessee province), Virginia (Shenandoah, Greensville, Bedford, (Campbell, Nottoway, Prince George), Marshall district (West Virginia province), Pontotoc, Chickasaw districts (Mississippi province), Perry district (Indiana province)"
2002-0351-USA,923aca58ae7f656d80f961f19aebfe4a,No,nat-cli-wil-for,No,No,No,,,770.0,Km2,2002-06-08,2002-06-08,0,Colorado province
2002-0379-USA,3dfc10fc87be3d6526fb8a6e1d8eeb18,No,nat-cli-wil-for,No,No,No,,,1320.0,Km2,2002-06-20,2002-06-20,0,Arizona province
2002-0404-CAN,39c5fbfe9086151a55abda9e0c23a168,No,nat-hyd-flo-riv,No,No,No,Heavy rain,,5530.0,Km2,2002-06-09,2002-06-12,3,"Fort Frances, Rainy River, Alberton, Atikokan, Chapple, Dawson, Emo, La Vallee cities (Kenora district, Ontario province), Ignace, Lake of the Woods, Nestor Falls, Sioux Narrows, Machin cities (Rainy river district, Ontario province)"
2002-0411-USA,ae72f74a3ac693a029b73d8fec716f16,No,nat-hyd-flo-riv,No,No,No,Heavy rain,,108300.0,Km2,2002-06-30,2002-07-23,23,"Comal, Guadalupe, Bandera, Uvalde, McMullen, Taylor districts (Texas province)"
2002-0502-USA,8fb09b06844dac8e1f94c328dedb89e6,No,nat-bio-epi-vir,No,No,No,,,,Vaccinated,2002-07-09,2002-11-26,140,"Alabama, district of Columbia, Illinois, Indiana, Louisiana, Mississippi, Texas, Florida, Massachusetts, Missouri, New York City, Ohio, Georgia, Kentucky, Maryland, Michigan, Nebraska, South Dacota, Tennessee, Texas, Virginia, Wisconsin"
2002-0569-USA,08512b4aa4cddb721afaa9b4b9ce1e1d,No,nat-met-sto-tor,No,No,No,,,,Kph,2002-09-05,2002-09-05,0,"Ladysmith city (Rusk district, Wisconsin province)"
2002-0600-USA,d591347d9b4fccb322848fb1d98fc40b,No,nat-hyd-flo-riv,No,No,No,Heavy rain,,5460.0,Km2,2002-09-21,2002-09-24,3,Georgia province
2002-0618-USA,9973efd85faa20731e9b24d4e916f7e1,No,nat-cli-wil-for,No,No,No,,,93.0,Km2,2002-09-22,2002-09-22,0,"Claremont, Glendora, La Verne areas (Los Angeles district, California province))"
2002-0652-USA,0c0801708a595d021c0b75624ec52389,No,nat-met-sto-tro,No,No,No,,,105.0,Kph,2002-09-26,2002-09-27,1,"Louisiane, Mississippi, Alabama, Tennessee provinces"
2002-0667-USA,5462a31c348a921e06f1584d81c1a509,No,nat-bio-epi-dis,No,No,No,,,,Vaccinated,2002-10-16,2002-10-16,0,
2002-0700-USA,82b3b236b1538d588100b7ea30533261,No,nat-met-sto-tor,No,No,No,,,200.0,Kph,2002-11-05,2002-11-10,5,"Tipton, Carroll, Montgomery, Sumner, Bedford, Coffee, Morgan, Cumberland, Anderson districts (Tennessee province), Henry, Dale, Fayette, Walker, Winston, Lamar, Cullman, Tuscaloosa, Jefferson, Cherokee districts (Alabama province), Van Wert, Paulding, Putnam, Defiance, Athens, Logan, Union, Seneca, Ottawa districts (Ohio province), Allen district (Kentucky province), Cross, Crittenden, Mississippi districts (Arkansas province), Appling, Cherokee, Pickens, Dawson, Atkinson, Coffee districts (Georgia province), Blackford district (Indiana province), Lowndes, Winston, Noxubee, Oktibbeha districts (Mississippi province), Mercer district (Pennsylvania province), McCormick district (South Carolina province)"
2002-0724-USA,1843a7e746bb7099166c93d459fe106e,No,nat-met-sto-tro,No,No,No,,Flood,,Kph,2002-10-03,2002-10-03,0,"St. Tammany, Terrebonne, Lafayette, Acadia, Evangeline, Rapides districts (Louisiana province)"
2002-0751-USA,e4c7adf4666576c95be0b4601b8bdad7,No,nat-met-sto-bli,No,No,No,,,,Kph,2002-12-04,2002-12-05,1,"Washington DC (District of Columbia district, District of Columbia province), North Carolina, South Carolina, Virginia, New York, Pennsylvania, Kentucky, New Jersey, Maryland, Missouri, Tennesse provinces"
2002-0793-USA,987591094f8e76b20d562c7c9863b343,No,nat-met-sto-sto,No,No,No,,,,Kph,2002-12-19,2002-12-19,0,"Marin, Los Angeles, Santa Cruz districts (California province), Oregon, Nevada provinces"
2002-0802-USA,6ea78b84e68d5db245c69837118d8228,No,nat-met-sto-bli,No,No,No,,,,Kph,2002-12-23,2002-12-23,0,"Oklahoma, Massachusetts, New York, Arkansas, Missouri, New Mexico, Louisiana, Texas provinces"
2002-0880-USA,a0030c42a6dcaeaed6f637d6f2c1254f,No,nat-met-sto-sto,No,No,No,,,,Kph,2002-05-30,2002-06-01,2,"Fulton, Tioga, Broome, Oswego, Delaware, Dutchess districts (New York province), Wayne district (Pennsylvania province), Connecticut, Massachusetts, Michigan, New Hampshire, New Jersey, Ohio, Wisconsin provinces"
2003-0085-USA,c99c84f7ab42d91883d34b0648380718,No,nat-met-sto-bli,No,No,Yes,,,,Kph,2003-02-14,2003-02-18,4,"Delaware, Kentucky, Massachusetts, Maryland, North Carolina, New Hampshire, New Jersey, New York, District of Columbia, Ohio, Pennsylvania, Rhode Island, Tennessee, Virginia, Vermont, West Virginia, Illinois, Missouri, Iowa, Nebraska, Connecticut provinces"
2003-0087-CAN,0a10c3152fd7133547659a255fd36825,No,nat-hyd-flo-riv,No,No,Yes,Ice jams,,1000.0,Km2,2003-02-15,2003-02-21,6,"Badger town (Division No. 6 district, Newfoundland and Labrador province)"
2003-0139-USA,141d9a9af260d0e79eb0520ba8aa651f,No,nat-met-sto-tor,No,No,No,,Flood|Hail,,Kph,2003-03-18,2003-03-20,2,"Mitchell, Worth districts (Georgia province), Jackson district (Alabama province) North Carolina, South Carolina, Tennessee provinces"
2003-0147-USA,3caa8683f3aae2c649ff78ffba232c33,No,nat-met-sto-bli,No,No,No,,Transport accident,,Kph,2003-03-20,2003-03-20,0,"Denver, Boulder districts (Colorado province), Wyoming province"
2003-0210-USA,bdeba8df0028a59609c6ef39f289bf3e,No,nat-met-sto-tor,No,No,Yes,,,,Kph,2003-05-04,2003-05-10,6,"Colbert, Lauderdale, Limestone, Madison, Jackson, Dekalb, Lamar, Walker,St Clair, Talladega, Shelby, Clay districts (Alabama province), Mississippi, Craighead, White, Woodruff, Cross districts (Arkansas province), Adams, Weld, Morgan districts (Colorado province), Cherokee, Franklin, Madison, Elbert, Hart, Heard, Coweta districts (Georgia province), Marion, Mahaska, Lee, Van Buren, Jefferson, Henry, Louisa districts (Iowa province), Adams, Hancock, Mc Donough, Bureau, Henry, Brown, Mason, Fulton, Pope, Schuyler, Sangamon, Pulaski, Massac, Alexander, Jasper, Mercer, Warren, Tazewell districts (Illinois province), Perry, Kosciuscko, Putnam districts (Indiana province), Crawford, Wyandotte, Leavenworth, Neosho, Labette, Cherokee, Butler, Greenwood, Osage, Woodson, Allen, Douglas, Anderson, Linn, Marion districts (Kansas province), Calloway, Webster,Daviess, Mason, Lewis, Union, Henderson, Pulaski districts (Kentucky province), Lawrence, Cass, Platte, Clay, Jackson- Kansas city, Greene, Christian, Camden, Lewis, Barton, Cedar, Polk, Hickory, Dallas, Jasper, Johnson, Newton, Dade, Pettis, Dunklin, Pemiscot, Putnam, Scott, Knox, Scotland, Clark, Macon, Shelby, Mercer, Lafayette, Saline, Cape Girardeau, Bollinger, Pulaski districts (Missouri province), Marshall, Benton, Tippah, Alcorn, Newton, Scott, Chickasaw, Monroe, Lee, Itawamba, Madison, Sunflower districts (Mississippi province), Washington, Vance, Chowan, Bertie, Hertford, Northamton districts (North Carolina province), Saunders district (Nebraska province), Okhlaoma, Moore-Cleveland, Ottawa, Stephens, Creek, Lincoln, Canadian, Caddo, Osage, Noble, Le Flore, Marshall, Love, Jefferson districts (Okhahoma province), Aiken, Abbeville, Williamsburg districts (South Carolina province), Perkins, Todd didstricts (South Dakota province), Dyer, Madison, Hamilton-Chattanooga, Gibson, Weakley, Henry, Stewart, Henderson, Carroll, Montgomery, Robertson, Williamson, Davidson, Cannon, Lincoln, Lawrence, Hardin, McNairy districts (Tennessee province), ood, Upshur, Harrison, Marion districts (Texas province)"
2003-0231-CAN,df3d8cc6ed041545a8814e5eb8d8c2fa,No,nat-hyd-flo-riv,No,No,No,"Heavy rains, snow melt",,13530.0,Km2,2003-03-31,2003-04-03,3,"Colchester, Cumberland districts (Nova Scotia/Nouvelle Ecosse province)"
2003-0299-USA,ba3c1396a3471c675ee2af133ce2c74a,No,nat-cli-wil-for,No,No,No,,,16.0,Km2,2003-06-17,2003-06-20,3,"Summerhaven area (Pima district, Arizona province), Lemmon mount (Pima district, Arizona province)"
2003-0334-USA,533c16c8e8ed5623b7ae9796aa9116b2,No,nat-hyd-flo-riv,No,No,No,Heavy rains,Rain,150500.0,Km2,2003-07-05,2003-07-21,16,"Allen, Carroll, Adams, Cass, Howard, Tipton, Wells, Miami, Boone, Jennings, Clay, Tippecanoe, Huntington, Decatur districts (Indiana province), Allen, Auglaize, Van Wert, Darke, Mercer, Miami districts (Ohio province), Mercer, Shelby, Logan, Hamilton, Winnebago districts (Illinois province)"
2003-0369-CAN,4fe2b7040aa428f40a556c080e0eb3ef,No,nat-cli-wil-for,No,No,No,,,2500.0,Km2,2003-08-01,2003-09-14,44,"British Columbia, Alberta, Saskatchewan, Manitoba provinces"
2003-0413-USA,b2273788f3e89a0963d4da38b2b97b60,No,nat-met-sto-tor,No,No,No,,,,Kph,2003-08-08,2003-08-08,0,Palm Beach district (Florida province)
2003-0417-CAN,9c22ee5fa4a62d7a273aed0738bd80da,No,nat-hyd-flo-fla,No,No,No,Brief torrential rain,,1990.0,Km2,2003-08-04,2003-08-05,1,"Bois-Franc municipality (La Vallée-de-la-Gatineau district, Quebec province)"
2003-0448-BMU,aa5cfe43423d2d02d84db4d4e2bf8929,No,nat-met-sto-tro,No,No,No,,Rain,240.0,Kph,2003-09-05,2003-09-06,1,
2003-0468-CAN,7bf4903f62391239f486f3b57c5f4c47,No,nat-met-sto-tro,No,No,No,,,,Kph,2003-09-18,2003-09-18,0,Ontario province
2003-0468-USA,57aa7fdca9d0639ee38c4f756a99c1c1,No,nat-met-sto-tro,No,No,Yes,,Flood,170.0,Kph,2003-09-18,2003-09-22,4,"North Carolina, Maryland, Virginia, West Virginia, Delaware, Pennsylvania, New Jersey, District of Columbia provinces"
2003-0487-CAN,61e561e71a36bf45f43c5bfe40b9b9f5,No,nat-met-sto-tro,No,No,Yes,,Flood,143.0,Kph,2003-09-28,2003-09-29,1,"Nova Scotia, Prince Edward Island provinces"
2003-0511-CAN,00733c044008147bae3d7cf50330a416,No,nat-hyd-flo-riv,No,No,Yes,Heavy rains,,,Km2,2003-10-17,2003-10-26,9,"Squamish, Pemberton, Whistler, Mount Currie cities (Squamish-Lillooet district, Bristish Columbia province), Fraser Valley city (Fraser Valley district, British Columbia province), Capital district (Bristish Columbia province)"
2003-0511-USA,41d6a6a0049ca68a156a808f666b1e68,No,nat-hyd-flo-riv,No,No,No,Heavy rains,,,Km2,2003-10-17,2003-10-26,9,"Snohomish, Mason, Grays Harbor, Jefferson, Clallam, Skagit, Whatcom districts (Washington province)"
2003-0518-USA,458c005c6b1ed49e2de74ea9755c5028,No,nat-cli-wil-for,No,No,Yes,,,1133.0,Km2,2003-10-25,2003-11-04,10,"Fontana, Rancho Cucamonga areas (San Bernardino district, California province)"
2003-0595-USA,b8e8e837477d429b13040acb8ef372eb,No,nat-met-sto-sto,No,No,No,,"Flood|Slide (land, mud, snow, rock)",,Kph,2003-11-20,2003-11-20,0,"West Virginia, Tennessee, Kentucky, Pennsylvania, North Carolina, Virginia provinces"
2003-0618-USA,f76abf3c02043c890d3c823c10674780,No,nat-met-sto-bli,No,No,No,,Transport accident,,Kph,2003-12-06,2003-12-07,1,"Pennsylvania, Connecticut, New York, New Jersey, Vermont, Virginia, Massachusetts, Rhode Island provinces"
2003-0623-USA,53d0890532e662c689f78242e2bb7e14,No,nat-geo-ear-gro,No,No,Yes,,,6.5,Moment Magnitude,2003-12-22,2003-12-22,0,"Paso Robles, Templeton, Atascadero, Cambria, Morro Bay, Oceano villages (San Luis Obispo district, California province)"
2003-0633-USA,15e2dfc57f57a4206f95e1c003cf91d3,No,nat-hyd-mmw-mud,No,No,No,Heavy rains,,,,2003-12-25,2003-12-26,1,San Bernardino district (California province)
2003-0663-USA,fb069eb74e40db79e3379523a0adb699,No,nat-hyd-flo-fla,No,No,Yes,Brief torrential rain,,250.0,Km2,2003-11-12,2003-11-13,1,Los Angeles district (California province)
2003-0741-USA,bd62bf7099a7ea1e69dc25d4f5f93354,No,nat-met-sto-sto,No,No,No,Rain and snow,Flood,,Kph,2003-02-15,2003-02-23,8,"Morgan, Leslie, Breathitt, Menifee districts (Kentucky province), Wayne, Cabell, Kanawha, Lincoln, Mingo districts (West Virginia province), Dickenson, Tazewell, Wise, Buchanan districts (Virginia province), Alabama, Connecticut, Delaware, Florida, Georgia, Massachusetts, Maryland, North Carolina, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, South Carolina, Tennessee, Vermont provinces"
2003-0756-USA,6473e700110abe2e2f83c2949fbf20c1,No,nat-hyd-flo-riv,No,No,No,Heavy rains,,272100.0,Km2,2003-05-06,2003-05-14,8,"Tennessee, Alabama, Georgia provinces"
2003-0780-USA,7988a7098c93878ed679298f17be0d9d,No,nat-met-sto-tor,No,No,No,,,,Kph,2003-05-30,2003-05-30,0,"Mason, Tazewell, Logan, Will, De Witt districts (Illinois province)"
