DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,Origin,Associated Types,Magnitude,Magnitude Scale,Start Date,End Date
2018-0046-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,,,,Kph,2018-01-21,2018-01-24
2018-0111-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,,Flood|Surge,110.0,Kph,2018-03-01,2018-03-03
2018-0129-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,,Hail,,Kph,2018-04-13,2018-04-15
2018-0130-USA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,Torrential rains,"Slide (land, mud, snow, rock)",,Km2,2018-04-14,2018-04-15
2018-0146-USA,No,nat-geo-vol-lav,Natural,Geophysical,Volcanic activity,Lava flow,,Kilauea,,Earthquake,,,2018-05-03,2018-05-30
2018-0160-CAN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),DFO:4612,,Heavy Rain and Snowmelt,,78669.36,Km2,2018-05-10,2018-05-14
2018-0170-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Alberto',,,,Kph,2018-05-27,2018-05-30
2018-0195-CAN,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,,,37.2,°C,2018-06-29,2018-07-05
2018-0206-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,,,110.0,Kph,2018-05-13,2018-05-15
2018-0258-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,Carr and Mendocino Complex fires,,Pollution,,Km2,2018-07-27,2018-08-31
2018-0279-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,Lightening,,Kph,2018-07-19,2018-07-22
2018-0299-CAN,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,,Pollution,,Km2,,
2018-0331-USA,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,Tropical Storm Gordon,,,Km2,2018-09-03,2018-09-11
2018-0342-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Florence,,Flood,,Kph,2018-09-12,2018-09-18
2018-0344-USA,No,nat-met-sto-lig,Natural,Meteorological,Storm,Lightning/Thunderstorms,,,,Hail,,Kph,2018-08-06,2018-08-07
2018-0366-CAN,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,250.0,Kph,2018-09-21,2018-09-21
2018-0373-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Michael,,Surge,250.0,Kph,2018-10-10,2018-10-11
2018-0409-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,Camp Fire,,,,Km2,2018-06-01,2018-12-31
2018-0419-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Heavy rains,Storm,,Km2,2018-10-15,2018-10-20
2018-0457-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,,Flood,,Kph,2018-12-26,2018-12-28
2018-0468-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,Woolsey Fire,,,,Km2,2018-11-08,2018-11-21
2018-9476-USA,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,,,,Km2,,
2019-0007-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,,Snow/ice,,Kph,2019-01-11,2019-01-15
2019-0045-USA,No,nat-met-sto-san,Natural,Meteorological,Storm,Sand/Dust storm,,,,Lightening|Snow/ice,,Kph,2019-01-18,2019-01-21
2019-0046-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,,Cold wave,,Kph,2019-01-29,2019-01-31
2019-0081-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,,Kph,2019-03-03,2019-03-04
2019-0086-USA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,Heavy rain,"Slide (land, mud, snow, rock)|Storm",,Km2,2019-02-25,2019-03-01
2019-0089-USA,No,nat-met-sto-lig,Natural,Meteorological,Storm,Lightning/Thunderstorms,,,,Flood|Hail,,Kph,2019-02-23,2019-02-25
2019-0090-USA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),DFO:4727,,,"Slide (land, mud, snow, rock)",,Km2,2019-02-26,2019-03-04
2019-0116-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,Fast snowmelt,Storm,,Km2,2019-03-14,2019-03-31
2019-0160-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,Hail,160.0,Kph,2019-04-13,2019-04-14
2019-0171-CAN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,Incresaing temperatures and heavy rains,Broken Dam/Burst bank,,Km2,2019-04-27,2019-05-05
2019-0184-USA,No,nat-met-sto-lig,Natural,Meteorological,Storm,Lightning/Thunderstorms,,,,Flood,,Kph,2019-04-24,2019-04-26
2019-0250-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,Hail,150.0,Kph,2019-05-23,2019-05-31
2019-0306-USA,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,,,7.1,Moment Magnitude,2019-07-05,2019-07-05
2019-0307-USA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,Heavy rains,,,Km2,2019-06-06,2019-06-09
2019-0335-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cylone 'Barry',,,,Kph,2019-07-13,2019-07-15
2019-0412-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2019-000099,Tropical cyclone 'Dorian',,Flood,150.0,Kph,2019-08-28,2019-09-06
2019-0417-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm ' Imelda',,Flood,65.0,Kph,2019-09-17,2019-09-21
2019-0484-USA,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,,,220.0,Kph,2019-10-20,2019-10-21
