DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,Origin,Associated Types,Magnitude,Magnitude Scale,Start Date,End Date
2022-0246-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,Calf Canyon and Hermits Peak Fires,"Hot and dry conditions, severe drought, and very high winds",,,Km2,2022-04-06,2022-06-14
2022-0261-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,Hail,,Kph,2022-04-26,2022-05-05
2022-0266-CAN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,Heavi rains,,,Km2,2022-04-22,2022-04-25
2022-0266-USA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,Heavy rains,,,Km2,,2022-05-05
2022-0284-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,,Flood|Hail,,Kph,2022-05-05,2022-05-11
2022-0304-CAN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,"Ice jams, rain and melting snow",,,Km2,2022-05-30,2022-05-31
2022-0325-CAN,No,nat-met-sto-der,Natural,Meteorological,Storm,Derecho,,,,,,Kph,2022-05-19,2022-05-26
2022-0325-USA,No,nat-met-sto-der,Natural,Meteorological,Storm,Derecho,,,,,,Kph,2022-05-19,2022-05-26
2022-0361-USA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,Heavy rain combined with glacier melt,"Slide (land, mud, snow, rock)",,Km2,2022-06-11,2022-06-14
2022-0480-USA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,Heavy rains,,,Km2,2022-07-26,2022-07-31
2022-0486-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,McKinney & Yeti Complex fires,"Vague de chaleur, de forts vents et des orages",Heat wave,,Km2,2022-07-29,2022-08-01
2022-0603-CAN,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2022-000314,Hurricane 'Fiona',,,,Kph,2022-09-24,2022-09-25
2022-0614-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2022-000320,Hurricane 'Ian',,Flood,240.0,Kph,2022-09-28,2022-10-02
2022-0734-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Nicole',,,120.0,Kph,2022-11-10,2022-11-11
2022-0735-USA,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,,Flood,,Kph,2022-11-04,2022-11-05
2022-0808-USA,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,,,6.4,Moment Magnitude,2022-12-20,2022-12-20
2022-0811-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,,,,Kph,2022-12-12,2022-12-15
2022-0818-CAN,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,Storm 'Elliott',,,,Kph,2022-12-21,2022-12-26
2022-0818-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,Storm 'Elliott',Heavy snowfall and very low temperatures,Cold wave|Flood,120.0,Kph,2022-12-19,2022-12-29
2022-0863-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,,"Flood|Slide (land, mud, snow, rock)",,Kph,2022-12-26,2023-03-26
2022-9209-USA,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,,Heat wave,,Km2,,
2023-0032-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,145.0,Kph,2023-01-12,2023-01-12
2023-0052-CAN,No,nat-met-ext-sev,Natural,Meteorological,Extreme temperature,Severe winter conditions,,,,,-50.0,°C,2023-01-30,2023-02-05
2023-0052-USA,No,nat-met-ext-sev,Natural,Meteorological,Extreme temperature,Severe winter conditions,,,,Cold wave|Transport accident,-50.0,°C,2023-01-30,2023-02-01
2023-0122-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,,,,Kph,2023-03-01,2023-03-03
2023-0135-USA,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,,Flood|Snow/ice,,Kph,2023-03-09,2023-03-12
2023-0176-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,,Kph,2023-03-22,2023-03-27
2023-0192-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,,Kph,2023-03-30,2023-04-03
2023-0206-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,,Kph,2023-04-03,2023-04-07
2023-0225-USA,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,Heavy rains,,,Km2,2023-04-12,2023-04-14
2023-0239-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,,Hail,,Kph,2023-04-15,2023-04-22
2023-0253-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,,Hail,,Kph,2023-04-23,2023-04-27
2023-0272-CAN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,Heavy rains,Storm,,Km2,2023-05-01,2023-05-04
2023-0280-CAN,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,Dry conditions and high winds,Heat wave|Pollution,,Km2,2023-05-06,
2023-0288-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,,Hail,,Kph,2023-05-06,2023-05-08
2023-0324-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,,Hail|Lightening,,Kph,2023-06-15,2023-06-22
2023-0332-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,Hail,,Kph,2023-06-10,2023-06-17
2023-0364-USA,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,,Pollution,56.7,°C,,
2023-0370-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,,Hail,,Kph,2023-06-23,2023-06-29
2023-0426-USA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,Severe storms,,,Km2,2023-07-09,2023-07-18
2023-0465-CAN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,Heavy rains,,,Km2,2023-07-21,2023-07-22
2023-0524-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,'Lahaina' wildfire,,,,Km2,2023-08-09,2023-08-10
2023-0534-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,Gray fire and the Oregon fire,,,,Km2,,2023-08-22
2023-0565-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Idalia',,Flood,150.0,Kph,2023-08-28,2023-08-29
2023-0651-USA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,Heavy rains and storms,Storm,,Km2,2023-09-29,2023-10-04
2023-0656-USA,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,,Hail|Transport accident,,Kph,2023-09-21,2023-09-27
2023-0785-USA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,Heavy rains and snow,,,Km2,2023-12-04,2023-12-06
2023-0826-USA,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,,Flood|Lightening,,Kph,2023-12-09,2023-12-11
2023-0843-USA,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,,Flood,,Kph,2023-12-16,2023-12-19
2023-9868-USA,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,,Heat wave,,Km2,2023-04-01,2023-09-30
2024-0004-USA,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,Two powerful storm systems,Flood|Severe winter conditions,,Kph,2024-01-08,2024-01-10
2024-0005-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,,Cold wave|Flood|Snow/ice|Transport accident,,Kph,2024-01-09,2024-01-22
2024-0062-USA,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,,"Flood|Slide (land, mud, snow, rock)|Snow/ice|Storm",160.0,Kph,2024-02-04,2024-02-08
2024-0079-USA,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,Two storms systems,Flood|Snow/ice,,Kph,2024-02-08,2024-02-13
2024-0126-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,"Smokehouse Creek, Windy Deuce and Grape Vine Creek fires",Hot and windy conditions,,,Km2,2024-02-26,2024-03-07
2024-0173-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,Hail,,Kph,2024-03-12,2024-03-16
2024-0193-USA,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,"Long-lasting, multi-hazard weather system","Avalanche (Snow, Debris)|Flood",,Kph,2024-03-29,2024-04-05
2024-0205-USA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,,Storm,,Km2,2024-04-06,2024-04-11
2024-0266-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,Flood,,Kph,2024-04-25,2024-05-08
2024-0288-CAN,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,,,,Km2,2024-05-12,2024-05-13
2024-0307-USA,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,,Flood,160.0,Kph,2024-05-16,2024-05-22
2024-0314-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,,,,Kph,2024-05-22,2024-05-22
2024-0340-USA,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,,Flood|Hail|Lightening,,Kph,2024-05-23,2024-05-30
2024-0351-USA,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,,Hail,,Kph,2024-05-30,2024-06-05
2024-0403-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,' South Fork' and 'Salt' fires,,,,Km2,2024-06-17,2024-07-15
2024-0422-CAN,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2024-000105,Hurricane 'Beryl',,Flood,,Kph,2024-07-12,2024-07-12
2024-0422-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2024-000105,Hurricane 'Beryl',,Flood,130.0,Kph,2024-07-08,2024-07-09
2024-0463-CAN,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,,,,,Km2,2024-06-21,2024-06-25
2024-0524-CAN,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,Jasper Complex Fire,"Warm temperatures, dry conditions, and strong winds, lightenings",,,Km2,2024-07-22,2024-08-07
2024-0573-CAN,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone 'Debby',,Flood,,Kph,2024-08-08,2024-08-10
2024-0573-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone 'Debby',,Flood,120.0,Kph,2024-08-05,2024-08-06
2024-0669-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,"'Brige fire', 'Airport fire'",,Heat wave,,Km2,2024-09-04,2024-09-19
2024-0693-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone 'Helene',,Flood|Surge,225.0,Kph,2024-09-25,2024-09-28
2024-0722-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Milton',,Flood|Surge,205.0,Kph,2024-10-09,2024-10-10
2024-0788-USA,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,Heavy rains,,,Km2,2024-10-18,2024-10-20
2024-0814-USA,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,,Flood|Lightening,,Kph,2024-11-02,2024-11-05
2024-0827-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,'Mountain fire',,,,Km2,2024-11-06,2024-11-08
2024-0897-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,'Franklin',,,,Km2,2024-12-09,2024-12-11
