ImpactID,LocationID,Classification_Key,ISO,Total_Deaths,No_Injured,No_Affected,No_Homeless,Total_Affected
449dcbdfbddd0b81373417b23408b905,96f7a5c016214416e6cd87251b6069c6,nat-met-sto-tor,USA,,7.0,300.0,,307.0
3c8442836d68e40dfb277fbc5dcc8d90,2fda735d09e21ebda7653e185e20e553,nat-met-sto-tor,USA,2.0,50.0,,1000.0,1050.0
3de3f33fd441cd289658cc01ddfec078,5937ff9649471ecec1710652d74ccd19,nat-met-sto-tor,USA,,,360.0,,360.0
636bfab3c256edbbcba020df25afb7ba,a29495a10dd92932117cdd616a3df5f1,nat-met-sto-tor,USA,,2.0,1800.0,150.0,1952.0
9926e217d87dc180a1fbe9f9cd3eb95f,1f9cc520e1ec5f884efbb16e4443935c,nat-cli-wil-for,USA,1.0,,,,
240482092817af7a231994486853b71c,d3ba5c2881c151d919de91b31db083ed,nat-hyd-flo-riv,USA,9.0,,600.0,,600.0
58f4a5a0b3c51cb6d9e564c934c22d92,fd2cc0ce25acc075a262d55942aa64c0,nat-met-sto-tor,USA,,2.0,200.0,,202.0
fca0df58f1a9538ae9e4e9a8d6d3113a,6fa0c95e2530f6c5d55a8f196e16f3ec,nat-cli-wil-for,USA,,11.0,,123.0,134.0
70261210f1583efd0efaa11510ba89c8,020dcfd6cd6b6330bdb39fe7e0e629dd,nat-met-sto-sto,USA,28.0,,,,
e25e4cb257bfda9f05616f111ae3d1e0,9c9d9f755311e2bcb8160c91758d1dd6,nat-met-sto-sto,USA,6.0,4.0,750.0,,754.0
a8993afce32619df55191529c462e0de,0b3ba8ccf130cfde28d6b3a3973c925c,nat-hyd-flo-riv,USA,7.0,,2000.0,,2000.0
23786567fe464aaecdc7934cc001ca31,9dd35dc624c9958ff14d316f98e56e8c,nat-hyd-flo-riv,USA,9.0,,1000.0,,1000.0
e0964363ccf47fa648664b654c1454b0,c487c3dcd39b26f2e47c88b493d45135,nat-met-sto-tor,USA,2.0,3.0,150.0,30.0,183.0
e8df16d9d9feab6d75648d1abdb4e171,5bfef99798c32a229a0cd72306e2a1f4,nat-met-sto-tor,USA,1.0,12.0,,,12.0
98f7a020dabac8d34e776c6ac50f21cc,68a3452e3143ee9da4349d67a1af781e,nat-met-sto-tor,USA,10.0,100.0,,,100.0
923aca58ae7f656d80f961f19aebfe4a,ab1029ce8274e14b4d8e6eb90bc25fe0,nat-cli-wil-for,USA,,,1500.0,72.0,1572.0
3dfc10fc87be3d6526fb8a6e1d8eeb18,37697bcf3c2684254a602e957e37ca13,nat-cli-wil-for,USA,,,,1269.0,1269.0
39c5fbfe9086151a55abda9e0c23a168,842179efcddeb7e25e21f3978d2b2a2e,nat-hyd-flo-riv,CAN,,,,,
ae72f74a3ac693a029b73d8fec716f16,e315f418914918d1881c6075e12ff7fb,nat-hyd-flo-riv,USA,10.0,,144000.0,,144000.0
8fb09b06844dac8e1f94c328dedb89e6,f8975662ae91f21f5c628aa34770805b,nat-bio-epi-vir,USA,214.0,,3523.0,,3523.0
08512b4aa4cddb721afaa9b4b9ce1e1d,5af70e98bbf55e338d089665cc5224e6,nat-met-sto-tor,USA,,36.0,450.0,51.0,537.0
d591347d9b4fccb322848fb1d98fc40b,dc7b28708ba4bf61e2abd1b4203ff5dc,nat-hyd-flo-riv,USA,,,750.0,,750.0
