ImpactID,DisNo.,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total_Damage_000_USD,"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
ba414776194a5594cbfe0dfc31a24d19,2000-0406-USA,,2.0,8000.0,75.0,8077.0,,,,,,,56.51429055927763,"[{""adm2_code"":31632,""adm2_name"":""Benton""}]",2003-07-01,2023-09-25
eb29f08135112418d0175280ae1e9cb2,2000-0420-CAN,11.0,140.0,,700.0,840.0,,,10000.0,17695.0,13000.0,23003.0,56.51429055927763,"[{""adm2_code"":12527,""adm2_name"":""Division No.  8""}]",2005-07-09,2023-09-25
79f5d7b1285a45f56b73ff54ee5cb023,2000-0433-USA,35.0,,,,,,,,,,,56.51429055927763,"[{""adm1_code"":3214,""adm1_name"":""Alabama""},{""adm1_code"":3232,""adm1_name"":""Louisiana""},{""adm1_code"":3257,""adm1_name"":""Texas""}]",2003-07-01,2023-09-25
99e0af6da40e87c81549c15a9cfb5721,2000-0450-USA,,,,,,,,,,,,56.51429055927763,"[{""adm1_code"":3215,""adm1_name"":""Alaska""}]",2003-07-01,2023-09-25
a6f69db763c0932834083f5b96a6c30a,2000-0463-USA,1.0,15.0,900.0,120.0,1035.0,,,,,8100.0,14333.0,56.51429055927763,"[{""adm2_code"":30078,""adm2_name"":""Yellow Medicine""}]",2003-07-01,2023-09-25
f3cdf5e13e8a79c09b0b3d19504c4862,2000-0465-USA,14.0,,1000.0,,1000.0,,,,,1000000.0,1769464.0,56.51429055927763,"[{""adm1_code"":3216,""adm1_name"":""Arizona""},{""adm1_code"":3218,""adm1_name"":""California""},{""adm1_code"":3219,""adm1_name"":""Colorado""},{""adm1_code"":3223,""adm1_name"":""Florida""},{""adm1_code"":3226,""adm1_name"":""Idaho""},{""adm1_code"":3240,""adm1_name"":""Montana""},{""adm1_code"":3242,""adm1_name"":""Nevada""},{""adm1_code"":3245,""adm1_name"":""New Mexico""},{""adm1_code"":3248,""adm1_name"":""North Dakota""},{""adm1_code"":3251,""adm1_name"":""Oregon""},{""adm1_code"":3255,""adm1_name"":""South Dakota""},{""adm1_code"":3257,""adm1_name"":""Texas""},{""adm1_code"":3258,""adm1_name"":""Utah""},{""adm1_code"":3261,""adm1_name"":""Washington""},{""adm1_code"":3264,""adm1_name"":""Wyoming""}]",2007-08-27,2023-09-25
2f0c9e34a82dba179c7670756ce274a1,2000-0500-USA,,,175.0,,175.0,,,,,166000.0,293731.0,56.51429055927763,"[{""adm2_code"":30464,""adm2_name"":""Morris""},{""adm2_code"":30469,""adm2_name"":""Sussex""}]",2006-02-23,2023-09-25
a03fe066ee39153f16e3eabc6feefbea,2000-0502-USA,,,300.0,,300.0,,,,,,,56.51429055927763,"[{""adm1_code"":3252,""adm1_name"":""Pennsylvania""}]",2003-07-01,2023-09-25
23f2d7e66b695bb64efbc5deb44261ea,2000-0598-USA,,70.0,25000.0,104.0,25174.0,,,,,50000.0,88473.0,56.51429055927763,"[{""adm2_code"":28892,""adm2_name"":""Napa""}]",2005-04-17,2023-09-25
156de1c3a4edcf5fd67a8f0eced9d3c5,2000-0614-USA,1.0,115.0,,,115.0,,,62500.0,110591.0,90000.0,159252.0,56.51429055927763,"[{""adm2_code"":30748,""adm2_name"":""Greene""}]",2003-07-01,2023-09-25
b9af99a2ac300885c5a06081f9fa953f,2000-0652-USA,2.0,,14418.0,3015.0,17433.0,,,,,219000.0,387513.0,56.51429055927763,"[{""adm2_code"":29003,""adm2_name"":""Broward""},{""adm2_code"":29008,""adm2_name"":""Collier""},{""adm2_code"":29040,""adm2_name"":""Miami-Dade""},{""adm2_code"":29041,""adm2_name"":""Monroe""}]",2003-07-01,2023-09-25
e4cb4a17286ed6ca4962f087e0c50ec5,2000-0756-USA,,,,,,,,,,,,56.51429055927763,"[{""adm2_code"":30519,""adm2_name"":""Erie""}]",2003-07-01,2023-09-25
fee1fdbd02d5db12960efce4c627244b,2000-0838-USA,57.0,34.0,,,34.0,,,200500.0,354778.0,,,56.51429055927763,"[{""adm1_code"":3217,""adm1_name"":""Arkansas""},{""adm1_code"":3237,""adm1_name"":""Minnesota""},{""adm1_code"":3239,""adm1_name"":""Missouri""},{""adm1_code"":3245,""adm1_name"":""New Mexico""},{""adm1_code"":3250,""adm1_name"":""Oklahoma""},{""adm1_code"":3257,""adm1_name"":""Texas""}]",2003-07-01,2023-09-25
7772db3054359660cbc0fcfa032d1434,2000-0865-USA,,,100.0,,100.0,,,,,20000.0,35389.0,56.51429055927763,"[{""adm2_code"":29228,""adm2_name"":""Maui""}]",2004-10-20,2023-09-25
06d8b2e60dc17538492e26853f317e0d,2000-0919-USA,4.0,,,,,,,280000.0,495450.0,350000.0,619312.0,56.51429055927763,"[{""adm1_code"":3214,""adm1_name"":""Alabama""},{""adm1_code"":3224,""adm1_name"":""Georgia""},{""adm1_code"":3232,""adm1_name"":""Louisiana""},{""adm1_code"":3235,""adm1_name"":""Massachusetts""},{""adm1_code"":3246,""adm1_name"":""New York""},{""adm1_code"":3247,""adm1_name"":""North Carolina""},{""adm1_code"":3252,""adm1_name"":""Pennsylvania""},{""adm1_code"":3254,""adm1_name"":""South Carolina""},{""adm1_code"":3256,""adm1_name"":""Tennessee""},{""adm1_code"":3260,""adm1_name"":""Virginia""}]",2007-01-17,2023-09-25
89b7ae3bbdc3119005b0670e66cd779f,2000-0937-USA,12.0,75.0,,,75.0,,,200500.0,354778.0,500000.0,884732.0,56.51429055927763,"[{""adm1_code"":3220,""adm1_name"":""Connecticut""},{""adm1_code"":3223,""adm1_name"":""Florida""},{""adm1_code"":3224,""adm1_name"":""Georgia""},{""adm1_code"":3235,""adm1_name"":""Massachusetts""},{""adm1_code"":3238,""adm1_name"":""Mississippi""},{""adm1_code"":3244,""adm1_name"":""New Jersey""},{""adm1_code"":3246,""adm1_name"":""New York""},{""adm1_code"":3247,""adm1_name"":""North Carolina""},{""adm1_code"":3252,""adm1_name"":""Pennsylvania""},{""adm1_code"":3253,""adm1_name"":""Rhode Island""},{""adm2_code"":28753,""adm2_name"":""Tuscaloosa""}]",2006-07-20,2023-09-25
3386e6b2d3d12909f8e232ec28c33fe9,2000-9339-USA,,,,,,,,,,1100000.0,1946410.0,56.51429055927763,"[{""adm1_code"":3214,""adm1_name"":""Alabama""},{""adm1_code"":3223,""adm1_name"":""Florida""},{""adm1_code"":3224,""adm1_name"":""Georgia""},{""adm1_code"":3232,""adm1_name"":""Louisiana""},{""adm1_code"":3254,""adm1_name"":""South Carolina""},{""adm1_code"":3257,""adm1_name"":""Texas""}]",2006-02-28,2023-09-25
bdfe6b7a182bb233d086a0b0b089937e,2000-9712-USA,,,,,,,,,,,,56.51429055927763,"[{""adm1_code"":3264,""adm1_name"":""Wyoming""}]",2006-02-28,2023-09-25
f4dd3cb711526c7cb4470fa8b1fdd2f9,2001-0052-CAN,11.0,,,30.0,30.0,,,,,,,58.11147437438208,"[{""adm1_code"":835,""adm1_name"":""Quebec / Québec""}]",2003-07-01,2023-09-25
121ee3de0fc3d8ca66fb93988bfb3fb8,2001-0099-USA,1.0,400.0,,,400.0,,,305000.0,524853.0,2000000.0,3441661.0,58.11147437438208,"[{""adm2_code"":31646,""adm2_name"":""King""},{""adm2_code"":31656,""adm2_name"":""Pierce""},{""adm2_code"":31663,""adm2_name"":""Thurston""}]",2003-09-05,2023-09-25
8a08208b3e8bb01fde8975a733c8e3bb,2001-0102-USA,7.0,30.0,900.0,,930.0,,,200500.0,345027.0,250000.0,430208.0,58.11147437438208,"[{""adm2_code"":30085,""adm2_name"":""Calhoun""},{""adm2_code"":30119,""adm2_name"":""Lee""},{""adm2_code"":30136,""adm2_name"":""Pontotoc""},{""adm2_code"":30137,""adm2_name"":""Prentiss""},{""adm2_code"":30151,""adm2_name"":""Union""}]",2003-07-01,2023-09-25
334ca07e3b5a4ed23f8de7b5af60d21f,2001-0106-USA,11.0,100.0,,,100.0,,,,,,,58.11147437438208,"[{""adm1_code"":3234,""adm1_name"":""Maryland""},{""adm1_code"":3244,""adm1_name"":""New Jersey""},{""adm1_code"":3247,""adm1_name"":""North Carolina""},{""adm1_code"":3252,""adm1_name"":""Pennsylvania""},{""adm1_code"":3260,""adm1_name"":""Virginia""},{""adm1_code"":3262,""adm1_name"":""West Virginia""}]",2003-07-01,2023-09-25
