ImpactID,DisNo,Classification_Key,LocationID,ISO,Start_Year,Total_Damage(USD),Total_Damage_Adj(USD)
44b49f687f0eb0c2f0fa1b540f5eeb09,2001-0474-USA,nat-met-sto-tor,3e1a92b16948b7201eb45ac5029590d5,USA,2001,,
19e53d1ecc794000de2b87d00b44a18e,2001-0477-USA,nat-met-sto-sto,980306620017e2940eaa4486a395208f,USA,2001,,
449dcbdfbddd0b81373417b23408b905,2001-0564-USA,nat-met-sto-tor,96f7a5c016214416e6cd87251b6069c6,USA,2001,,
3c8442836d68e40dfb277fbc5dcc8d90,2001-0566-USA,nat-met-sto-tor,2fda735d09e21ebda7653e185e20e553,USA,2001,30000.0,51625.0
3de3f33fd441cd289658cc01ddfec078,2001-0601-USA,nat-met-sto-tor,5937ff9649471ecec1710652d74ccd19,USA,2001,4000.0,6883.0
636bfab3c256edbbcba020df25afb7ba,2001-0602-USA,nat-met-sto-tor,a29495a10dd92932117cdd616a3df5f1,USA,2001,7000.0,12046.0
9926e217d87dc180a1fbe9f9cd3eb95f,2001-0722-USA,nat-cli-wil-for,1f9cc520e1ec5f884efbb16e4443935c,USA,2001,,
240482092817af7a231994486853b71c,2001-0724-USA,nat-hyd-flo-riv,d3ba5c2881c151d919de91b31db083ed,USA,2001,,
58f4a5a0b3c51cb6d9e564c934c22d92,2001-0773-USA,nat-met-sto-tor,fd2cc0ce25acc075a262d55942aa64c0,USA,2001,3000.0,5162.0
fca0df58f1a9538ae9e4e9a8d6d3113a,2002-0092-USA,nat-cli-wil-for,6fa0c95e2530f6c5d55a8f196e16f3ec,USA,2002,6600.0,11180.0
70261210f1583efd0efaa11510ba89c8,2002-0119-USA,nat-met-sto-sto,020dcfd6cd6b6330bdb39fe7e0e629dd,USA,2002,400000.0,677585.0
e25e4cb257bfda9f05616f111ae3d1e0,2002-0165-USA,nat-met-sto-sto,9c9d9f755311e2bcb8160c91758d1dd6,USA,2002,200500.0,339640.0
a8993afce32619df55191529c462e0de,2002-0183-USA,nat-hyd-flo-riv,0b3ba8ccf130cfde28d6b3a3973c925c,USA,2002,76000.0,128741.0
23786567fe464aaecdc7934cc001ca31,2002-0266-USA,nat-hyd-flo-riv,9dd35dc624c9958ff14d316f98e56e8c,USA,2002,13000.0,22022.0
e0964363ccf47fa648664b654c1454b0,2002-0283-USA,nat-met-sto-tor,c487c3dcd39b26f2e47c88b493d45135,USA,2002,,
e8df16d9d9feab6d75648d1abdb4e171,2002-0287-USA,nat-met-sto-tor,5bfef99798c32a229a0cd72306e2a1f4,USA,2002,4000.0,6776.0
98f7a020dabac8d34e776c6ac50f21cc,2002-0310-USA,nat-met-sto-tor,68a3452e3143ee9da4349d67a1af781e,USA,2002,2200000.0,3726720.0
923aca58ae7f656d80f961f19aebfe4a,2002-0351-USA,nat-cli-wil-for,ab1029ce8274e14b4d8e6eb90bc25fe0,USA,2002,20000.0,33879.0
3dfc10fc87be3d6526fb8a6e1d8eeb18,2002-0379-USA,nat-cli-wil-for,37697bcf3c2684254a602e957e37ca13,USA,2002,200500.0,339640.0
39c5fbfe9086151a55abda9e0c23a168,2002-0404-CAN,nat-hyd-flo-riv,842179efcddeb7e25e21f3978d2b2a2e,CAN,2002,,
ae72f74a3ac693a029b73d8fec716f16,2002-0411-USA,nat-hyd-flo-riv,e315f418914918d1881c6075e12ff7fb,USA,2002,1000000.0,1693964.0
8fb09b06844dac8e1f94c328dedb89e6,2002-0502-USA,nat-bio-epi-vir,f8975662ae91f21f5c628aa34770805b,USA,2002,,
08512b4aa4cddb721afaa9b4b9ce1e1d,2002-0569-USA,nat-met-sto-tor,5af70e98bbf55e338d089665cc5224e6,USA,2002,20000.0,33879.0
d591347d9b4fccb322848fb1d98fc40b,2002-0600-USA,nat-hyd-flo-riv,dc7b28708ba4bf61e2abd1b4203ff5dc,USA,2002,,
9973efd85faa20731e9b24d4e916f7e1,2002-0618-USA,nat-cli-wil-for,822871cd1ec087cf19ab445ce49062dd,USA,2002,,
0c0801708a595d021c0b75624ec52389,2002-0652-USA,nat-met-sto-tro,8c958f4fc8f1defd53010ec800ba755a,USA,2002,300000.0,508189.0
5462a31c348a921e06f1584d81c1a509,2002-0667-USA,nat-bio-epi-dis,afd0bba560ad4ad5f95cebfe3c3024d5,USA,2002,,
82b3b236b1538d588100b7ea30533261,2002-0700-USA,nat-met-sto-tor,4001bb7dacb978df2c4db12221b32dc4,USA,2002,700000.0,1185775.0
1843a7e746bb7099166c93d459fe106e,2002-0724-USA,nat-met-sto-tro,35d759aa2bff24f59596e635dc8563ae,USA,2002,2000000.0,3387927.0
e4c7adf4666576c95be0b4601b8bdad7,2002-0751-USA,nat-met-sto-bli,e92af25c8b787754578742a2d1acc613,USA,2002,450500.0,763131.0
