DisNo,ImpactID,Historic,Classification_Key,Disaster_Group,Disaster_Subgroup,Disaster_Type,Disaster_Subtype,Event_Name,OFDA_BHA_Response,Appeal,Declaration,Origin,Associated_Types,Magnitude,Magnitude_Scale,Start_Date,End_Date,duration
2017-0136-USA,780221095d38683df151ddb5bdb452c2,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,No,No,No,,Hail|Storm,,Km2,2017-04-28,2017-05-01,3
2017-0203-USA,5ce16fc5b6a70dbb7bf3e0479173acb7,No,nat-met-sto-hai,Natural,Meteorological,Storm,Hail,,No,No,No,,Hail,130.0,Kph,2017-05-09,2017-05-11,2
2017-0234-USA,cac713df7984523d4e74ce684c48c5e2,No,nat-met-sto-lig,Natural,Meteorological,Storm,Lightning/Thunderstorms,,No,No,No,,Flood|Hail,170.0,Kph,2017-06-25,2017-06-29,4
2017-0252-USA,cb9c6f09289246fcf519055a0d93d0bf,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,Wall Fire  Alamo Fire  Whittier Fire,No,No,Yes,Weather,,190.0,Km2,2017-07-06,2017-07-10,4
2017-0253-USA,6f3d225e0767cf89a21586736d0763ee,No,nat-met-sto-lig,Natural,Meteorological,Storm,Lightning/Thunderstorms,,No,No,No,,Hail,135.0,Kph,2017-06-09,2017-06-12,3
2017-0271-CAN,438bf8d9bbd1e703b7aeb632a9c8c9ff,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),Gustafsen  Wildwood  Elephant Hill Fires,No,Yes,Yes,Weather,Heat wave,500.0,Km2,2017-07-07,2017-09-15,70
2017-0282-USA,eb0d5daef0a22fa81aa4b0ba020b4119,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,No,No,No,Thunderstorm,,,Km2,2017-07-15,2017-07-15,0
2017-0336-USA,7bfe484eebaa682c1bde9e2a2b6cd869,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,No,No,No,,Flood|Hail,,Kph,2017-08-05,2017-08-08,3
2017-0362-USA,5caa65f0254ebb50989cbce2b5e31026,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,Hurricane Harvey,No,No,Yes,,Flood|Oil spill,215.0,Kph,2017-08-25,2017-08-29,4
2017-0381-USA,2b100119214110fc01d511ab2e741315,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,Hurricane 'Irma',No,No,No,,Flood,300.0,Kph,2017-09-10,2017-09-28,18
2017-0383-USA,6ce1e2a38bb8c4dfe24fd685bf3d053d,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,Hurricane 'Maria',No,No,No,,,,Kph,2017-09-26,2017-09-27,1
2017-0410-USA,f73e84c33b301a291251a22e0056bcd8,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,Tropical depression'16/Hurricane 'Nate',No,No,No,,,140.0,Kph,2017-10-07,2017-10-08,1
2017-0434-USA,28c91048ff0d96cf179c58f87af414ef,No,nat-cli-wil-lan,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",Tubbs  Atlas  Nuns Fires,No,No,No,,,,Km2,2017-06-01,2017-12-31,213
2017-0471-CAN,051f0c3b71a40da2c2212ec06f1a194d,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,No,No,No,Heavy rains,,,Km2,2017-08-28,2017-08-29,1
2017-0511-USA,183ccd4ef4927dbb03d21a3195e44001,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),'Thomas',No,No,Yes,"Droght, winds",,1101.5,Km2,2017-12-04,2017-12-31,27
2017-0512-USA,0dc50107edeb39853e5cb93bd108fd0f,No,nat-met-sto-lig,Natural,Meteorological,Storm,Lightning/Thunderstorms,,No,No,Yes,,Hail,,Kph,2017-11-05,2017-11-06,1
2017-0542-USA,ac9f2ca42dbb00c63062c2b843ed94ca,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,No,No,Yes,,Cold wave|Transport accident,,Kph,2017-12-31,2018-01-05,5
2017-0563-USA,de9a9f930b7b2e1d82b8e10ea9635dbc,No,nat-met-sto-hai,Natural,Meteorological,Storm,Hail,,No,No,No,,Hail,130.0,Kph,2017-03-06,2017-03-09,3
2017-0564-USA,43ade195e407a0f5d4b4f612f5ed9d53,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,No,No,No,,Flood|Hail,175.0,Kph,2017-03-25,2017-03-28,3
2017-9550-USA,1196bbeedff6d48402a209b33e38b806,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,No,No,No,,,,Km2,2017-03-01,2017-12-31,305
2018-0010-USA,bff9ba5090604c29149a05983c1ea4cb,No,nat-hyd-mmw-mud,Natural,Hydrological,Mass movement (wet),Mudslide,,No,No,No,Heavy rains,Flood,,,2018-01-08,2018-01-14,6
2018-0045-USA,10ecffa04ec939559b3a81931f554f9d,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,No,No,No,,Cold wave,,Kph,2018-01-03,2018-01-05,2
2018-0046-USA,9944487494f2a8e797a5e804118ef286,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,No,No,No,,,,Kph,2018-01-21,2018-01-24,3
2018-0111-USA,2d3de2de8e78f603c5815b8c61fc8152,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,No,No,Yes,,Flood|Surge,110.0,Kph,2018-03-01,2018-03-03,2
2018-0129-USA,6ef3ed89b6bb50214118543e7651b74f,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,No,No,No,,Hail,,Kph,2018-04-13,2018-04-15,2
2018-0130-USA,38c34d088f3dc140bc5e92d67310bbcf,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,No,No,Yes,Torrential rains,"Slide (land, mud, snow, rock)",,Km2,2018-04-14,2018-04-15,1
2018-0146-USA,bac1e7da3aa5462d775a96f640e680b3,No,nat-geo-vol-lav,Natural,Geophysical,Volcanic activity,Lava flow,Kilauea,No,No,No,,Earthquake,,,2018-05-03,2018-05-30,27
2018-0160-CAN,87c6a2714c70474dfc18dfea088ac6be,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,No,No,No,Heavy Rain and Snowmelt,,78669.36,Km2,2018-05-10,2018-05-14,4
2018-0170-USA,a0a80ecb5a98596b61feb06cca6cf98a,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,Tropical storm 'Alberto',No,No,No,,,,Kph,2018-05-27,2018-05-30,3
2018-0195-CAN,77b74f825cb8b180b01880e037ccfefd,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,No,No,No,,,37.2,°C,2018-06-29,2018-07-05,6
2018-0206-USA,d27ab4ca32a287b3807306a4cf02d4e5,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,No,No,No,,,110.0,Kph,2018-05-13,2018-05-15,2
2018-0258-USA,731ac94bb447b59fbda419e808f8c384,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,Carr and Mendocino Complex fires,No,No,No,,Pollution,,Km2,2018-07-27,2018-08-31,35
2018-0279-USA,5df94dd394855d226440a868ef2f41df,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,No,No,No,,Lightening,,Kph,2018-07-19,2018-07-22,3
2018-0331-USA,983626bdb310746ff4c9e27b6fdb72c5,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,No,No,Yes,Tropical Storm Gordon,,,Km2,2018-09-03,2018-09-11,8
2018-0342-USA,075b6e189397b5f655cb04b245e51665,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,Hurricane Florence,No,No,Yes,,Flood,,Kph,2018-09-12,2018-09-18,6
2018-0344-USA,7f2eddfd434919f34261bb4377bb5dd4,No,nat-met-sto-lig,Natural,Meteorological,Storm,Lightning/Thunderstorms,,No,No,No,,Hail,,Kph,2018-08-06,2018-08-07,1
2018-0366-CAN,272ef96eb13f0d0e1aa1e5df16990de7,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,No,No,No,,,250.0,Kph,2018-09-21,2018-09-21,0
2018-0373-USA,cba97325a0312677b92c0d5f7786b48b,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,Hurricane Michael,No,No,No,,Surge,250.0,Kph,2018-10-10,2018-10-11,1
2018-0409-USA,2a703ac72d5ab95a79ef7bc4a7038150,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,Camp Fire,No,No,Yes,,,,Km2,2018-06-01,2018-12-31,213
2018-0419-USA,eec45ee6df9227c27762b33944596e91,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,No,No,Yes,Heavy rains,Storm,,Km2,2018-10-15,2018-10-20,5
2018-0457-USA,3a702141d24af0ebbd418bddc93f0ad4,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,No,No,No,,Flood,,Kph,2018-12-26,2018-12-28,2
2018-0468-USA,cccc81b0a819673e6c3ffa53e3cdcc8f,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),Woolsey Fire,No,No,No,,,,Km2,2018-11-08,2018-11-21,13
2019-0007-USA,139fb921e46b598fd2c3d559135011f7,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,No,No,Yes,,Snow/ice,,Kph,2019-01-11,2019-01-15,4
2019-0045-USA,ee3676d590417443c4bb2a9214caa930,No,nat-met-sto-san,Natural,Meteorological,Storm,Sand/Dust storm,,No,No,No,,Lightening|Snow/ice,,Kph,2019-01-18,2019-01-21,3
2019-0046-USA,35c8072cb18eab36c4cd0bd0e639b7fa,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,No,No,No,,Cold wave,,Kph,2019-01-29,2019-01-31,2
2019-0081-USA,f9c6574b58d6661093f44861e93968c5,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,No,No,No,,,,Kph,2019-03-03,2019-03-04,1
2019-0086-USA,78956f793bf7467255247b56c1dfd5fc,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,No,No,Yes,Heavy rain,"Slide (land, mud, snow, rock)|Storm",,Km2,2019-02-25,2019-03-01,4
2019-0089-USA,933cbcc40d27b06d834af439a8137341,No,nat-met-sto-lig,Natural,Meteorological,Storm,Lightning/Thunderstorms,,No,No,No,,Flood|Hail,,Kph,2019-02-23,2019-02-25,2
2019-0090-USA,9194135692ea265cc42518900db9eef4,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,No,No,No,,"Slide (land, mud, snow, rock)",,Km2,2019-02-26,2019-03-04,6
2019-0116-USA,dddda0f3500f5a1961106b85c7c944f6,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,No,No,No,Fast snowmelt,Storm,,Km2,2019-03-14,2019-03-31,17
2019-0160-USA,68b031386dc78a5a4007cc2606553923,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,No,No,No,,Hail,160.0,Kph,2019-04-13,2019-04-14,1
2019-0171-CAN,d4cc548ae41f7d440db354195c53a97d,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,No,No,No,Incresaing temperatures and heavy rains,Broken Dam/Burst bank,,Km2,2019-04-27,2019-05-05,8
2019-0184-USA,40bdc17e24c42655451c94c4f6e55f0e,No,nat-met-sto-lig,Natural,Meteorological,Storm,Lightning/Thunderstorms,,No,No,Yes,,Flood,,Kph,2019-04-24,2019-04-26,2
2019-0250-USA,da2324deacc9bc74f357646d4929da78,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,No,No,No,,Hail,150.0,Kph,2019-05-23,2019-05-31,8
2019-0306-USA,3bee7822da487a066921d10ccc3f1566,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,No,No,Yes,,,7.1,Moment Magnitude,2019-07-05,2019-07-05,0
2019-0307-USA,e13fb1e6fa71b726eda8c5e1f20330ff,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,No,No,Yes,Heavy rains,,,Km2,2019-06-06,2019-06-09,3
2019-0335-USA,c796c9ebddec2b11ed1fa3631135e1ef,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,Tropical cylone 'Barry',No,No,No,,,,Kph,2019-07-13,2019-07-15,2
2019-0412-USA,f39a6ab397aa28ba0fb4387910e45dfd,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,Tropical cyclone 'Dorian',No,No,No,,Flood,150.0,Kph,2019-08-28,2019-09-06,9
2019-0417-USA,458be1709fd9e9a88fb12f9ee3f5c607,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,Tropical storm ' Imelda',No,No,No,,Flood,65.0,Kph,2019-09-17,2019-09-21,4
2019-0484-USA,7b31655f759866993c62f32c4695e9f0,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,No,No,Yes,,,220.0,Kph,2019-10-20,2019-10-21,1
2019-0513-USA,bd01817458a4739d35cb53e2053cf0a5,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,Saddleridge fire & Sandalwood fire,No,No,No,,,,Km2,2019-10-10,2019-10-17,7
2019-0517-USA,a39b8141b98cc114882d3c42313922f7,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,Kincade Fire,No,No,Yes,,,,Km2,2019-10-26,2019-10-31,5
2019-0532-CAN,8089eabf9abf30e2c4443d5ab16762d7,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,No,No,No,,Flood,100.0,Kph,2019-10-31,2019-11-02,2
2019-0593-USA,e2ee60e62f15375a8d80b0d97edbbe48,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,No,No,No,,Cold wave,,Kph,2019-11-27,2019-12-03,6
2019-0624-USA,e96430a88c8fc0a3be803b935d85485a,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,No,No,No,,Hail,260.0,Kph,2019-12-16,2019-12-18,2
2020-0011-USA,2bdb47f96b1829f389a3799117aef6a9,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,No,No,No,,Flood,,Kph,2020-01-10,2020-01-12,2
2020-0082-USA,23c7c2ac15e4e07c64367004d7dbe70f,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,No,No,Yes,,,,Kph,2020-03-02,2020-03-05,3
2020-0089-USA,17462ce01e7085e23c3714661fbf4f7b,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,No,No,Yes,Heavy rains,,,Km2,2020-02-10,2020-02-17,7
2020-0148-USA,2583f68364cf3fa27a011aad873609b2,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,No,No,No,,Flood,160.0,Kph,2020-04-10,2020-04-14,4
2020-0167-USA,1f64ac3df0e724fa501681d19f536bff,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,No,No,No,,Flood,,Kph,2020-04-21,2020-04-24,3
2020-0190-USA,16eba42d99c59bb5d6dab21147f27e7a,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,No,No,No,,Hail,,Kph,2020-04-06,2020-04-09,3
2020-0191-CAN,671e7abe7fddde842f3802201dcfaf29,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,No,No,No,Rising temperatures and subsequent ice jamming,,,Km2,2020-04-26,2020-04-30,4
2020-0212-USA,9decca4c4bafab802f4142e8a76a1996,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,No,No,Yes,Heavy rains,Broken Dam/Burst bank,,Km2,2020-05-17,2020-05-20,3
2020-0219-USA,ebd727c32920f6c4d1c1c0218acca2a0,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,Tropical storm 'Cristobal',No,No,Yes,,,85.0,Kph,2020-06-07,2020-06-07,0
2020-0238-USA,e6fe9486f92bed00a9b63ae606c1bdde,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,No,No,No,,Hail,130.0,Kph,2020-05-02,2020-05-03,1
2020-0266-CAN,0057db8dbffd10eecd063a2b88e58521,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,No,No,No,,Hail,,Kph,2020-06-13,2020-06-14,1
2020-0312-USA,dfafec29982cb24f85fa866566fc421f,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,Hurricane 'Isaias',No,No,No,,,,Kph,2020-07-31,2020-08-02,2
2020-0316-USA,9c0a453ff3e1a8f72046c3d33985c8fc,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,Hurricane 'Hanna',No,No,No,,Flood,150.0,Kph,2020-07-25,2020-07-25,0
2020-0376-USA,fd21bfa2a44c07e7565077b20220b116,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,Hurricane 'Laura',No,No,No,,Industrial accidents,240.0,Kph,2020-08-27,2020-08-28,1
2020-0412-USA,9803a6611462ef6169f8c7446c1114ea,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,Hurricane 'Delta',No,No,No,,Flood,195.0,Kph,2020-10-07,2020-10-11,4
2020-0438-USA,c324f2ea5620e0463d8df88bb8f0c934,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,Hurricane 'Sally',No,No,Yes,,Flood,165.0,Kph,2020-09-11,2020-09-18,7
2020-0441-USA,9d8415b933407941a46768ed1171b9fc,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,August Complex fire,No,No,No,,,,Km2,2020-08-16,2020-10-01,46
2020-0474-USA,aef585fb9e23c2a2e82659d65ce111e6,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,Hurricane 'Eta',No,No,No,,Flood|Surge,100.0,Kph,2020-11-08,2020-11-12,4
2020-0483-USA,57983e24d1994d6d7d339220266ad37c,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,Hurricane 'Zeta',No,No,No,,Surge,175.0,Kph,2020-10-24,2020-10-30,6
2020-0538-USA,172eace24609dcaa5eee6bae077644b0,No,nat-met-sto-lig,Natural,Meteorological,Storm,Lightning/Thunderstorms,,No,No,No,,Flood|Hail,110.0,Kph,2020-11-10,2020-11-10,0
2020-0580-USA,cef5c801ac53f40d001753b6e5f0bb72,No,nat-met-sto-der,Natural,Meteorological,Storm,Derecho,,No,No,No,,,,Kph,2020-08-08,2020-08-12,4
2020-0582-USA,a96a0ba30936591312c73c3db9eb16a3,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,No,No,No,,,,Kph,2020-03-27,2020-03-28,1
2020-0583-USA,f7ef8a2a7cadeb3f10ac38f14e28bcbb,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,No,No,No,,Hail|Lightening,,Kph,2020-05-20,2020-05-23,3
2020-0584-USA,b267d690ad0e7aff0646996d20e65947,No,nat-met-sto-hai,Natural,Meteorological,Storm,Hail,,No,No,No,,,,Kph,2020-05-27,2020-05-27,0
2021-0011-USA,bd132065d5280e42931b7c9217140a4d,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,No,No,No,,"Flood|Slide (land, mud, snow, rock)",,Kph,2021-01-13,2021-01-15,2
2021-0037-USA,dda0821ff1e03c0be976439f5bfe1100,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,No,No,No,,Flood|Snow/ice,,Kph,2021-01-24,2021-01-27,3
2021-0043-USA,f8155b47eb7178b273dafe3d90714339,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,No,No,No,,"Flood|Slide (land, mud, snow, rock)",,Kph,2021-01-24,2021-01-29,5
2021-0059-USA,aa8ffef38a3e03689bb675eb2e067fca,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,No,No,Yes,,,,Kph,2021-01-30,2021-02-02,3
2021-0096-USA,9218a031471a34c7a135706c65be29d2,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,No,No,No,Polar Vortex,Cold wave,,Kph,2021-02-10,2021-02-20,10
2021-0117-USA,09a907061444f92b0d96060608848f95,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,No,No,Yes,Heavy rain and thunderstorm,"Slide (land, mud, snow, rock)",,Km2,2021-02-25,2021-03-01,4
2021-0150-USA,c877f983550254ac098a2817d5d9056d,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,No,No,Yes,Heavy rains,,,Km2,2021-03-08,2021-03-10,2
2021-0166-USA,2e36c7b06d9176a32e6b77be61e6d13a,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,No,No,Yes,,,,Kph,2021-03-16,2021-03-18,2
2021-0178-USA,a80cb9e285416daa29bb9f722245a145,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,No,No,Yes,,Flood,,Kph,2021-03-24,2021-03-26,2
2021-0193-USA,00b1f0a87dc80b8c91335a0caff9b0f5,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,No,No,No,Heavy rains,,,Km2,2021-03-27,2021-03-28,1
2021-0199-USA,e695372fdfb0d08327b58036a500f462,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,No,No,No,,Hail,,Kph,2021-04-09,2021-04-11,2
2021-0211-USA,fb5df605948637b6511464f4ffeedb4a,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,No,No,No,,Transport accident,,Kph,2021-04-13,2021-04-15,2
2021-0250-USA,2e53f568c522407c46c4ad0cb4b31848,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,No,No,No,,Hail,,Kph,2021-04-15,2021-04-16,1
2021-0251-USA,0756ad6b3b07f6448ad529c4a37fd100,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,No,No,No,,Flood|Hail,,Kph,2021-04-27,2021-05-02,5
2021-0266-USA,9106a6ef3e25bc1e306ce41ab7a40386,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,No,No,No,,Flood|Hail,,Kph,2021-05-02,2021-05-04,2
2021-0273-USA,37ed4b523f598ea87706783386c53fbe,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,No,No,No,,Flood,,Kph,2021-05-14,2021-05-19,5
2021-0305-USA,be61fd599178a80c961c96584551e20c,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),Storm 'Claudette',No,No,No,,Flood|Transport accident,,Kph,2021-06-18,2021-06-21,3
2021-0335-USA,fb3ace671ee8ed75e9e0fbb3a7ff273a,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,No,No,No,Heavy rains,,,Km2,2021-06-07,2021-06-10,3
2021-0356-CAN,9fa35247b33f9234ac60d170dc0c7414,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,No,No,No,,,,Kph,2021-06-21,2021-06-22,1
2021-0357-USA,8f55f16b43f6d21ae2be3945aa01586a,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),Telegraph and Mescal Fires,No,No,No,,,,Km2,2021-06-06,2021-07-04,28
2021-0367-CAN,3295b44b4fc7c22e8985a8bedbbc9538,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,No,No,No,,Heat wave,,Km2,2021-06-30,2021-07-02,2
2021-0373-USA,6e717dce9167f6f2e112576a3d181a10,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,Hurricane 'Elsa',No,No,Yes,,Flood,100.0,Kph,2021-07-02,2021-07-09,7
2021-0390-USA,8939844d009869aa1979a5b4fd9e19ce,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,No,No,No,,,46.8,°C,2021-06-26,2021-06-30,4
2021-0410-USA,72a69da3e24d800b4e9cd7d4621d6530,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),Bootleg Fire,No,No,No,,,,Km2,2021-07-06,2021-07-31,25
2021-0433-USA,947abd4b879b3a4a3d928d759e08bda5,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,Dixie fire,No,No,No,"Heat, drought and winds",,,Km2,2021-07-13,2021-08-11,29
2021-0442-USA,ebf7410d7778036e4ae9c21d5006c3a4,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,No,No,Yes,Heavy rains,"Slide (land, mud, snow, rock)",,Km2,2021-07-16,2021-07-21,5
2021-0487-USA,03f694c74a4fc2f6227599a48decbe7d,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,No,No,No,,Flood|Hail,,Kph,2021-07-08,2021-07-11,3
2021-0488-USA,1dba6ea47d070ed0760b0b98777ca7bd,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,No,No,Yes,Active monsoonal rainfall,Storm,,Km2,2021-07-22,2021-07-28,6
2021-0526-USA,0dabe5262761e1545064610cf6fc7f37,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,Caldor fire,No,No,No,,,,Km2,2021-08-13,2021-08-31,18
2021-0531-USA,d29aa1fbcdeef76780885a4df1b09f8a,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,Tropical depression 'Henri',No,No,Yes,,Flood,120.0,Kph,2021-08-20,2021-08-25,5
2021-0532-USA,5644901bcac7f3aa8f101583ee5cbb1c,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,Tropical storm 'Fred',No,No,Yes,"Heavy rains, remnants of tropical storm Fred",Flood,,Kph,2021-08-17,2021-08-22,5
2021-0533-USA,febe12391eed9a0a09d2050e05f51fdc,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,No,No,No,Heavy rains,,,Km2,2021-08-21,2021-08-22,1
2021-0551-USA,ce05a7b199770f07d5370318ea7ef928,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,Tropical storm 'Ida',No,No,Yes,,Flood,240.0,Kph,2021-08-28,2021-09-02,5
2021-0562-USA,4a1a149fb12f11b3c90e61f2a5b03e97,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,No,No,No,,,,Km2,2021-07-30,2021-08-02,3
2021-0565-USA,83ce5362ece13e2c88a0e6831a0177e2,No,nat-met-sto-lig,Natural,Meteorological,Storm,Lightning/Thunderstorms,,No,No,No,,,,Kph,2021-08-10,2021-08-13,3
2021-0566-USA,e80fb5a5ad597ff36c007ca625d9fc72,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,No,No,Yes,,Lightening,,Km2,2021-08-10,2021-08-16,6
2021-0583-USA,238e7c2f35daa052cc23fc59c5650279,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,Tropical storm 'Nicholas',No,No,No,,Flood,,Kph,2021-09-12,2021-09-17,5
2021-0626-USA,e24dc532ce347b5e962d5ef572852398,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),Fawn fire,No,No,No,,,,Km2,2021-09-22,2021-09-30,8
2021-0733-USA,a9ea667e6441155213ff5aa5b0f4b91d,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,No,No,Yes,,,,Km2,2021-10-04,2021-10-07,3
2021-0741-CAN,04ae3aef7796dc8f8f378ec150995038,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,No,No,Yes,Heavy rains,"Slide (land, mud, snow, rock)",,Km2,2021-11-13,2021-11-16,3
