DisNo,ImpactID,Historic,Classification_Key,Disaster_Group,Disaster_Subgroup,Disaster_Type,Disaster_Subtype,Event_Name,OFDA_BHA_Response,Appeal,Declaration,Origin,Associated_Types,Magnitude,Magnitude_Scale,Start_Date,End_Date,duration
2013-0439-USA,9f63a7525fd8d2fdc7cb9aef54feafa2,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,No,No,Yes,,Hail,305.0,Kph,2013-11-16,2013-11-18,2
2013-0472-USA,5c90eec60636ed5f497bf0e02f84c766,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,No,No,No,,Flood,,Kph,2013-11-24,2013-11-24,0
2013-0510-USA,0edf28661736743c8a1e8a58c8afb520,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,No,No,Yes,Torrentiak rain,,38936.0,Km2,2013-10-31,2013-11-10,10
2013-0528-CAN,2cba8d11f304faa322101b11c25afe60,No,nat-met-ext-sev,Natural,Meteorological,Extreme temperature,Severe winter conditions,,No,No,No,,,,°C,2013-12-21,2013-12-22,1
2013-0528-USA,a3af53993a750938a47be7c6775efc51,No,nat-met-ext-sev,Natural,Meteorological,Extreme temperature,Severe winter conditions,,No,No,No,,,,°C,2013-12-19,2013-12-22,3
2013-0548-USA,ece905efa688f41a260399863732aefd,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,No,No,No,,,,Kph,2013-03-18,2013-03-19,1
2013-0550-USA,418834fbf4a5b767a9fab4b81927ef71,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,Cleon and Dion,No,No,No,,,,Kph,2013-12-01,2013-12-09,8
2013-0558-USA,c35ced69ed8595b12ff407796db43e09,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,No,No,Yes,Heavy rains,,16069.91,Km2,2013-12-22,2013-12-31,9
2013-0579-USA,0486319196180b1adeb39d6898554251,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,No,No,Yes,,Hail,,Kph,2013-02-24,2013-02-25,1
2013-0580-CAN,fd8c0b4a3e92c59303547ebccc594af3,No,nat-met-sto-lig,Natural,Meteorological,Storm,Lightning/Thunderstorms,,No,No,No,,Flood,,Kph,2013-07-08,2013-07-09,1
