ImpactID,DisNo,Classification_Key,Location,ISO,Start_Year,Total_Damage_USD,Total_Damage_Adj_USD
e09edf3008823d00ae674a2b7989ca7c,2001-0145-USA,nat-met-sto-tor,"Kearny, Trego, Ellis, Rooks, Ford, Osborne, Smith, Jewell, Edwards, Republic, Washington districts (Kansas province), Union city (Franklin district, Missouri province), Johnson, Pettis, Cooper, Callaway, St Charles, Gentry, Worth, Clark, Madison districts (Missouri), Beaver, Pontotoc, Coal, Johnston, Atoka, Haskell, Pottawatomie districts (Oklahoma province), Wichita, Cooke, Carson, Hutchinson, Hansford, Wheeler districts (Texas province), Thayer, Gage, Sarpy, Webster, Nuckolls districts (Nebraska province), Mills, Pottawattamie, Guthrie, Boone, Hamilton, Wapello, Johnson, Black Hawk, Benton, Fayette, Webster, Ringgold districts (Iowa province), Madison district (Illinois province)",USA,2001,23000.0,39579.0
4b82b467ccc0cd858d42931e57eeeb0c,2001-0194-USA,nat-met-sto-tor,"Marion, Clay districts (Florida province)",USA,2001,1800.0,3097.0
72ffb616368e11dc8458ca747df77431,2001-0242-USA,nat-met-sto-tro,"Texas, Mississippi, Louisiana, Florida, Pennsylvania, South Carolina, North Carolina, Georgia, Pensylvania, New Jersey, Virginia, Iowa provinces",USA,2001,6000000.0,10324983.0
1be48f8fe68f50d1e2a19f45c282efbf,2001-0262-USA,nat-hyd-flo-riv,"Cleveland area (Henry district, Illinois province), Barstow, Osborn areas (Rock Island district, Illinois province)",USA,2001,,
1d834c835d9c01a6f04282fdf7ccc8fd,2001-0266-USA,nat-met-sto-sto,"New Hampshire, Vermont, Maine, Massachusetts, Rhode Island provinces",USA,2001,,
eec338274210e6aed14e42ebb067c249,2001-0268-USA,nat-hyd-flo-riv,"Minnesota, Iowa, Wisconsin, Illinois provinces",USA,2001,13000.0,22371.0
ebe3655caf5fd552e82497c9df70b2e4,2001-0270-USA,nat-met-sto-tor,"Hoisington city (Barton district, Kansas province)",USA,2001,,
1fffb45b57cc327b48059b9c73b4b2a5,2001-0340-CAN,nat-cli-wil-for,Alberta province,CAN,2001,,
6e6dc9d81f6f18a6e9a8f58c778344bc,2001-0351-USA,nat-met-sto-tor,"Blue Grass, Bettendorf cities (Scott district, Iowa province), Leon city (Decatur district, Iowa province)",USA,2001,,
007f2c6898cdedc5a323aebf75122289,2001-0460-USA,nat-hyd-flo-riv,Virginia province,USA,2001,20000.0,34417.0
ab645cbf565a8210f06a5bddde3d98df,2001-0473-USA,nat-met-sto-tor,"Siren city (Burnett district, Wisconsin province)",USA,2001,10000.0,17208.0
44b49f687f0eb0c2f0fa1b540f5eeb09,2001-0474-USA,nat-met-sto-tor,"Brainerd city (Crow King district, Minnesota province)",USA,2001,,
19e53d1ecc794000de2b87d00b44a18e,2001-0477-USA,nat-met-sto-sto,"Watkins area (Adams district, Colorado province)",USA,2001,,
449dcbdfbddd0b81373417b23408b905,2001-0564-USA,nat-met-sto-tor,"Cordell city (Washita district, Oklahoma province), Polk, Merrick, Hamilton districts (Nebraska province)",USA,2001,,
3c8442836d68e40dfb277fbc5dcc8d90,2001-0566-USA,nat-met-sto-tor,"Howard, Prince George's districts (Maryland province)",USA,2001,30000.0,51625.0
3de3f33fd441cd289658cc01ddfec078,2001-0601-USA,nat-met-sto-tor,"Pasadena city (Harris district, Texas province)",USA,2001,4000.0,6883.0
636bfab3c256edbbcba020df25afb7ba,2001-0602-USA,nat-met-sto-tor,"Hondo city (Medina district, Texas province)",USA,2001,7000.0,12046.0
9926e217d87dc180a1fbe9f9cd3eb95f,2001-0722-USA,nat-cli-wil-for,"Tennessee, Kentucky, West Virginia, Virginia, Georgia provinces",USA,2001,,
240482092817af7a231994486853b71c,2001-0724-USA,nat-hyd-flo-riv,Texas province,USA,2001,,
58f4a5a0b3c51cb6d9e564c934c22d92,2001-0773-USA,nat-met-sto-tor,"Jakson town (Dakota district, Nebraska province)",USA,2001,3000.0,5162.0
fca0df58f1a9538ae9e4e9a8d6d3113a,2002-0092-USA,nat-cli-wil-for,"Fallbrok area (San Diego district, Californie province)",USA,2002,6600.0,11180.0
70261210f1583efd0efaa11510ba89c8,2002-0119-USA,nat-met-sto-sto,"Cleveland, Comanche, Creek, Garvin, Grady, Greer, Harmon, Jackson, Kiowa, Lincoln, McClain, Nowata, Pottawatomie, Rogers, Stephens, Tillman, Tulsa, Alfalfa, Beaver, Beckham, Blaine, Caddo, Canadian, Cimarron, Custer, Dewey, Ellis, Garfield, Grant, Harper, Kay, Kingfisher, Logan, Major, Noble, Oklahoma, Osage, Pawnee, Payne, Roger Mills, Texas, Washington, Washita, Woods, Woodward districts (Oklahoma province), Missouri, Kansas, New York, Indiana, Ohio provinces",USA,2002,400000.0,677585.0
e25e4cb257bfda9f05616f111ae3d1e0,2002-0165-USA,nat-met-sto-sto,"Sevier, Blount, Knox, Hawkins districts (Tennessee province), Cumberland, Bell districts (Kentucky province), Wise, Smyth, Washington districts (Virginia province), Cabell district (West Virginia province), North Carolina, Mississippi, Arkansas, Texas provinces",USA,2002,200500.0,339640.0
a8993afce32619df55191529c462e0de,2002-0183-USA,nat-hyd-flo-riv,"Tennessee, Virginia, Kentucky, Ohio, Arkansas, Oklahoma, Texas provinces",USA,2002,76000.0,128741.0
23786567fe464aaecdc7934cc001ca31,2002-0266-USA,nat-hyd-flo-riv,"Pike district (Kentucky province), Virginia province",USA,2002,13000.0,22022.0
e0964363ccf47fa648664b654c1454b0,2002-0283-USA,nat-met-sto-tor,"Happy town (Randall, Swisher districts, Texas province)",USA,2002,,
e8df16d9d9feab6d75648d1abdb4e171,2002-0287-USA,nat-met-sto-tor,"Wayne, Jefferson districts (Illinois province)",USA,2002,4000.0,6776.0
98f7a020dabac8d34e776c6ac50f21cc,2002-0310-USA,nat-met-sto-tor,"Breckinridge, Meade, Crittenden, Webster, Hopkins, Ohio, Hardin, Edmonson districts (Kentucky province), Bollinger, Howell districts (Missouri province), Charles, Calvert, Dorchester, Wicomico, Cecil districts (Maryland province), Illinois (Clay,Union, Johnson,Pope, Moultrie, Saline, Bond), Gordon district (Georgia province), Atchison district (Kansas province), Erie, Allegany districts (New York province), Stark district (Ohio province), Indiana, Mercer, Venango, Butler, Armstrong, Columbia, Lebanon, Allegheny districts (Pennsylvania province), Rutherford, Lake, Henry, Carter districts (Tennessee province), Virginia (Shenandoah, Greensville, Bedford, (Campbell, Nottoway, Prince George), Marshall district (West Virginia province), Pontotoc, Chickasaw districts (Mississippi province), Perry district (Indiana province)",USA,2002,2200000.0,3726720.0
923aca58ae7f656d80f961f19aebfe4a,2002-0351-USA,nat-cli-wil-for,Colorado province,USA,2002,20000.0,33879.0
3dfc10fc87be3d6526fb8a6e1d8eeb18,2002-0379-USA,nat-cli-wil-for,Arizona province,USA,2002,200500.0,339640.0
39c5fbfe9086151a55abda9e0c23a168,2002-0404-CAN,nat-hyd-flo-riv,"Fort Frances, Rainy River, Alberton, Atikokan, Chapple, Dawson, Emo, La Vallee cities (Kenora district, Ontario province), Ignace, Lake of the Woods, Nestor Falls, Sioux Narrows, Machin cities (Rainy river district, Ontario province)",CAN,2002,,
ae72f74a3ac693a029b73d8fec716f16,2002-0411-USA,nat-hyd-flo-riv,"Comal, Guadalupe, Bandera, Uvalde, McMullen, Taylor districts (Texas province)",USA,2002,1000000.0,1693964.0
8fb09b06844dac8e1f94c328dedb89e6,2002-0502-USA,nat-bio-epi-vir,"Alabama, district of Columbia, Illinois, Indiana, Louisiana, Mississippi, Texas, Florida, Massachusetts, Missouri, New York City, Ohio, Georgia, Kentucky, Maryland, Michigan, Nebraska, South Dacota, Tennessee, Texas, Virginia, Wisconsin",USA,2002,,
08512b4aa4cddb721afaa9b4b9ce1e1d,2002-0569-USA,nat-met-sto-tor,"Ladysmith city (Rusk district, Wisconsin province)",USA,2002,20000.0,33879.0
d591347d9b4fccb322848fb1d98fc40b,2002-0600-USA,nat-hyd-flo-riv,Georgia province,USA,2002,,
9973efd85faa20731e9b24d4e916f7e1,2002-0618-USA,nat-cli-wil-for,"Claremont, Glendora, La Verne areas (Los Angeles district, California province))",USA,2002,,
0c0801708a595d021c0b75624ec52389,2002-0652-USA,nat-met-sto-tro,"Louisiane, Mississippi, Alabama, Tennessee provinces",USA,2002,300000.0,508189.0
5462a31c348a921e06f1584d81c1a509,2002-0667-USA,nat-bio-epi-dis,,USA,2002,,
82b3b236b1538d588100b7ea30533261,2002-0700-USA,nat-met-sto-tor,"Tipton, Carroll, Montgomery, Sumner, Bedford, Coffee, Morgan, Cumberland, Anderson districts (Tennessee province), Henry, Dale, Fayette, Walker, Winston, Lamar, Cullman, Tuscaloosa, Jefferson, Cherokee districts (Alabama province), Van Wert, Paulding, Putnam, Defiance, Athens, Logan, Union, Seneca, Ottawa districts (Ohio province), Allen district (Kentucky province), Cross, Crittenden, Mississippi districts (Arkansas province), Appling, Cherokee, Pickens, Dawson, Atkinson, Coffee districts (Georgia province), Blackford district (Indiana province), Lowndes, Winston, Noxubee, Oktibbeha districts (Mississippi province), Mercer district (Pennsylvania province), McCormick district (South Carolina province)",USA,2002,700000.0,1185775.0
1843a7e746bb7099166c93d459fe106e,2002-0724-USA,nat-met-sto-tro,"St. Tammany, Terrebonne, Lafayette, Acadia, Evangeline, Rapides districts (Louisiana province)",USA,2002,2000000.0,3387927.0
e4c7adf4666576c95be0b4601b8bdad7,2002-0751-USA,nat-met-sto-bli,"Washington DC (District of Columbia district, District of Columbia province), North Carolina, South Carolina, Virginia, New York, Pennsylvania, Kentucky, New Jersey, Maryland, Missouri, Tennesse provinces",USA,2002,450500.0,763131.0
987591094f8e76b20d562c7c9863b343,2002-0793-USA,nat-met-sto-sto,"Marin, Los Angeles, Santa Cruz districts (California province), Oregon, Nevada provinces",USA,2002,,
6ea78b84e68d5db245c69837118d8228,2002-0802-USA,nat-met-sto-bli,"Oklahoma, Massachusetts, New York, Arkansas, Missouri, New Mexico, Louisiana, Texas provinces",USA,2002,,
a0030c42a6dcaeaed6f637d6f2c1254f,2002-0880-USA,nat-met-sto-sto,"Fulton, Tioga, Broome, Oswego, Delaware, Dutchess districts (New York province), Wayne district (Pennsylvania province), Connecticut, Massachusetts, Michigan, New Hampshire, New Jersey, Ohio, Wisconsin provinces",USA,2002,,
c99c84f7ab42d91883d34b0648380718,2003-0085-USA,nat-met-sto-bli,"Delaware, Kentucky, Massachusetts, Maryland, North Carolina, New Hampshire, New Jersey, New York, District of Columbia, Ohio, Pennsylvania, Rhode Island, Tennessee, Virginia, Vermont, West Virginia, Illinois, Missouri, Iowa, Nebraska, Connecticut provinces",USA,2003,200000.0,331273.0
0a10c3152fd7133547659a255fd36825,2003-0087-CAN,nat-hyd-flo-riv,"Badger town (Division No. 6 district, Newfoundland and Labrador province)",CAN,2003,,
141d9a9af260d0e79eb0520ba8aa651f,2003-0139-USA,nat-met-sto-tor,"Mitchell, Worth districts (Georgia province), Jackson district (Alabama province) North Carolina, South Carolina, Tennessee provinces",USA,2003,5000000.0,8281813.0
3caa8683f3aae2c649ff78ffba232c33,2003-0147-USA,nat-met-sto-bli,"Denver, Boulder districts (Colorado province), Wyoming province",USA,2003,25000.0,41409.0
bdeba8df0028a59609c6ef39f289bf3e,2003-0210-USA,nat-met-sto-tor,"Colbert, Lauderdale, Limestone, Madison, Jackson, Dekalb, Lamar, Walker,St Clair, Talladega, Shelby, Clay districts (Alabama province), Mississippi, Craighead, White, Woodruff, Cross districts (Arkansas province), Adams, Weld, Morgan districts (Colorado province), Cherokee, Franklin, Madison, Elbert, Hart, Heard, Coweta districts (Georgia province), Marion, Mahaska, Lee, Van Buren, Jefferson, Henry, Louisa districts (Iowa province), Adams, Hancock, Mc Donough, Bureau, Henry, Brown, Mason, Fulton, Pope, Schuyler, Sangamon, Pulaski, Massac, Alexander, Jasper, Mercer, Warren, Tazewell districts (Illinois province), Perry, Kosciuscko, Putnam districts (Indiana province), Crawford, Wyandotte, Leavenworth, Neosho, Labette, Cherokee, Butler, Greenwood, Osage, Woodson, Allen, Douglas, Anderson, Linn, Marion districts (Kansas province), Calloway, Webster,Daviess, Mason, Lewis, Union, Henderson, Pulaski districts (Kentucky province), Lawrence, Cass, Platte, Clay, Jackson- Kansas city, Greene, Christian, Camden, Lewis, Barton, Cedar, Polk, Hickory, Dallas, Jasper, Johnson, Newton, Dade, Pettis, Dunklin, Pemiscot, Putnam, Scott, Knox, Scotland, Clark, Macon, Shelby, Mercer, Lafayette, Saline, Cape Girardeau, Bollinger, Pulaski districts (Missouri province), Marshall, Benton, Tippah, Alcorn, Newton, Scott, Chickasaw, Monroe, Lee, Itawamba, Madison, Sunflower districts (Mississippi province), Washington, Vance, Chowan, Bertie, Hertford, Northamton districts (North Carolina province), Saunders district (Nebraska province), Okhlaoma, Moore-Cleveland, Ottawa, Stephens, Creek, Lincoln, Canadian, Caddo, Osage, Noble, Le Flore, Marshall, Love, Jefferson districts (Okhahoma province), Aiken, Abbeville, Williamsburg districts (South Carolina province), Perkins, Todd didstricts (South Dakota province), Dyer, Madison, Hamilton-Chattanooga, Gibson, Weakley, Henry, Stewart, Henderson, Carroll, Montgomery, Robertson, Williamson, Davidson, Cannon, Lincoln, Lawrence, Hardin, McNairy districts (Tennessee province), ood, Upshur, Harrison, Marion districts (Texas province)",USA,2003,4000000.0,6625451.0
df3d8cc6ed041545a8814e5eb8d8c2fa,2003-0231-CAN,nat-hyd-flo-riv,"Colchester, Cumberland districts (Nova Scotia/Nouvelle Ecosse province)",CAN,2003,10000.0,16564.0
ba3c1396a3471c675ee2af133ce2c74a,2003-0299-USA,nat-cli-wil-for,"Summerhaven area (Pima district, Arizona province), Lemmon mount (Pima district, Arizona province)",USA,2003,,
533c16c8e8ed5623b7ae9796aa9116b2,2003-0334-USA,nat-hyd-flo-riv,"Allen, Carroll, Adams, Cass, Howard, Tipton, Wells, Miami, Boone, Jennings, Clay, Tippecanoe, Huntington, Decatur districts (Indiana province), Allen, Auglaize, Van Wert, Darke, Mercer, Miami districts (Ohio province), Mercer, Shelby, Logan, Hamilton, Winnebago districts (Illinois province)",USA,2003,106000.0,175574.0
4fe2b7040aa428f40a556c080e0eb3ef,2003-0369-CAN,nat-cli-wil-for,"British Columbia, Alberta, Saskatchewan, Manitoba provinces",CAN,2003,545000.0,902718.0
b2273788f3e89a0963d4da38b2b97b60,2003-0413-USA,nat-met-sto-tor,Palm Beach district (Florida province),USA,2003,,
9c22ee5fa4a62d7a273aed0738bd80da,2003-0417-CAN,nat-hyd-flo-fla,"Bois-Franc municipality (La Vallée-de-la-Gatineau district, Quebec province)",CAN,2003,10000.0,16564.0
aa5cfe43423d2d02d84db4d4e2bf8929,2003-0448-BMU,nat-met-sto-tro,,BMU,2003,300000.0,496909.0
7bf4903f62391239f486f3b57c5f4c47,2003-0468-CAN,nat-met-sto-tro,Ontario province,CAN,2003,,
57aa7fdca9d0639ee38c4f756a99c1c1,2003-0468-USA,nat-met-sto-tro,"North Carolina, Maryland, Virginia, West Virginia, Delaware, Pennsylvania, New Jersey, District of Columbia provinces",USA,2003,3370000.0,5581942.0
61e561e71a36bf45f43c5bfe40b9b9f5,2003-0487-CAN,nat-met-sto-tro,"Nova Scotia, Prince Edward Island provinces",CAN,2003,110000.0,182200.0
00733c044008147bae3d7cf50330a416,2003-0511-CAN,nat-hyd-flo-riv,"Squamish, Pemberton, Whistler, Mount Currie cities (Squamish-Lillooet district, Bristish Columbia province), Fraser Valley city (Fraser Valley district, British Columbia province), Capital district (Bristish Columbia province)",CAN,2003,15000.0,24845.0
41d6a6a0049ca68a156a808f666b1e68,2003-0511-USA,nat-hyd-flo-riv,"Snohomish, Mason, Grays Harbor, Jefferson, Clallam, Skagit, Whatcom districts (Washington province)",USA,2003,,
458c005c6b1ed49e2de74ea9755c5028,2003-0518-USA,nat-cli-wil-for,"Fontana, Rancho Cucamonga areas (San Bernardino district, California province)",USA,2003,,
b8e8e837477d429b13040acb8ef372eb,2003-0595-USA,nat-met-sto-sto,"West Virginia, Tennessee, Kentucky, Pennsylvania, North Carolina, Virginia provinces",USA,2003,,
