DisNo,ImpactID,LocationID,Classification_Key,Event_Name,ISO,Total_Deaths,Total_Affected,Start_Date,Total_Damage_USD,Total_Damage_Adj_USD,duration
2011-0456-USA,d0929e43ad73a0c93bba62a45d6fce91,28ae2f7b448e7522440f32af33e2d358,nat-met-sto-tro,Lee,USA,15.0,600.0,2011-09-04,750000.0,1015947.0,5
2012-0176-USA,d9e7757af50f212e9df58cd7025505a3,a1f426d74be3849a0eb68969859da7b7,nat-met-sto-tro,Tropical storm Debby,USA,9.0,17001.0,2012-06-22,210000.0,278698.0,5
2012-0313-USA,4207a95d359d253152bda12de71b29cf,a34b7f21a30320adfc5a77392014f568,nat-met-sto-tro, Isaac,USA,1.0,60000.0,2012-08-28,2000000.0,2654266.0,1
2012-0410-USA,893f5687e035e17749f8924d884d51fe,c06b585367889330c2619f5336768e33,nat-met-sto-tro, Sandy,USA,54.0,,2012-10-28,50000000.0,66356661.0,0
2014-0310-USA,b2ce4840f065088992f1db623e92aed0,eba47eed2e9763a992de04d75290786e,nat-met-sto-tro, Iselle,USA,1.0,834.0,2014-08-08,66000.0,84948.0,2
2015-0459-USA,4d2b5da126a94a0e640736e65c2e2423,789ba7b935adbaa52523fa3ca4b6a559,nat-met-sto-tro,Joaquin,USA,25.0,800.0,2015-10-01,2000000.0,2571138.0,12
2016-0322-USA,f983c08a6a3be1caadca3477b4e8baeb,f5d72ee0d8fd7054b1461059e2059955,nat-met-sto-tro, Hermine,USA,3.0,14070.0,2016-09-01,600000.0,761731.0,5
2016-0355-USA,13873dc5df87944447473d6372baf43d,8120a4a4b8de73bfc6235771acf61adf,nat-met-sto-tro, Matthew,USA,49.0,,2016-10-08,10000000.0,12695523.0,4
2017-0362-USA,5caa65f0254ebb50989cbce2b5e31026,e0c50427373557f2befefb262cb1fc85,nat-met-sto-tro, Harvey,USA,88.0,582024.0,2017-08-25,95000000.0,118091963.0,4
2017-0381-USA,2b100119214110fc01d511ab2e741315,f846e50e91f46ede86eabca78acc3fcf,nat-met-sto-tro, Irma,USA,97.0,70000.0,2017-09-10,57000000.0,70855178.0,18
